Matteo 1:1	Genealogia di Gesù Cristo figlio di Davide, figlio di Abrahamo.
1 Tessalonicesi 1:6	E voi siete divenuti imitatori nostri e del Signore, avendo ricevuto la Parola in mezzo a molte afflizioni, con allegrezza dello Spirito Santo,
1 Tessalonicesi 1:7	tanto che siete diventati un esempio per tutti i credenti della Macedonia e dell’Acaia.
1 Tessalonicesi 1:8	Poiché da voi la parola del Signore ha echeggiato non soltanto in Macedonia e in Acaia, ma la fama della fede che avete in Dio si è sparsa in ogni luogo, tanto che non abbiamo bisogno di parlarne,
1 Tessalonicesi 1:9	perché loro stessi raccontano di noi quale sia stata la nostra venuta tra voi, e come vi siete convertiti dagli idoli a Dio per servire il Dio vivente e vero, e per aspettare dai cieli suo Figlio,
1 Tessalonicesi 1:10	che Egli ha risuscitato dai morti, cioè Gesù che ci libera dall’ira a venire.
1 Tessalonicesi 2:1	Voi stessi, fratelli, sapete che la nostra venuta tra voi non è stata invano;
1 Tessalonicesi 2:2	anzi, sebbene avessimo prima patito e fossimo stati oltraggiati, come sapete, a Filippi, ci siamo rinfrancati nel nostro Dio per annunciarvi il Vangelo di Dio in mezzo a molte lotte.
1 Tessalonicesi 2:3	Poiché la nostra esortazione non procede da impostura, né da motivi impuri, né è fatta con frode;
1 Tessalonicesi 2:4	ma siccome siamo stati approvati da Dio, che ci ha stimato tali da poterci affidare il Vangelo, parliamo in modo da piacere non agli uomini, ma a Dio che prova i nostri cuori.
1 Tessalonicesi 2:5	Difatti, non abbiamo mai usato parole di lusinga, come ben sapete, né pretesti ispirati da cupidigia; Dio ne è testimone.
1 Tessalonicesi 2:6	E non abbiamo cercato gloria dagli uomini, né da voi, né da altri, quantunque, come apostoli di Cristo, avessimo potuto far valere la nostra autorità;
1 Tessalonicesi 2:7	invece, siamo stati mansueti in mezzo a voi, come una nutrice che cura teneramente i propri figli.
1 Tessalonicesi 2:8	Così, nel nostro grande affetto per voi, eravamo disposti a darvi non soltanto il Vangelo di Dio, ma anche le nostre proprie vite, tanto ci eravate divenuti cari.
1 Tessalonicesi 2:9	Perché, fratelli, voi ricordate la nostra fatica e la nostra pena; è lavorando notte e giorno per non essere di peso ad alcuno di voi che vi abbiamo predicato il Vangelo di Dio.
1 Tessalonicesi 2:10	Voi siete testimoni, e Dio lo è pure, del modo santo, giusto e irreprensibile con cui ci siamo comportati verso voi che credete
1 Tessalonicesi 2:11	e sapete pure che, come fa un padre con i suoi figli, noi abbiamo esortato,
1 Tessalonicesi 2:12	confortato e scongiurato ciascuno di voi a condursi in modo degno di Dio, che vi chiama al suo regno e alla sua gloria.
1 Tessalonicesi 2:13	E per questa ragione anche noi rendiamo continuamente grazie a Dio: perché quando riceveste da noi la parola della predicazione, cioè la parola di Dio, voi l’accettaste non come parola di uomini, ma, quale essa è veramente, come parola di Dio, la quale opera efficacemente in voi che credete.
1 Tessalonicesi 2:14	Poiché, fratelli, voi siete divenuti imitatori delle chiese di Dio che sono in Cristo Gesù nella Giudea, in quanto che anche voi avete sofferto dai vostri connazionali le stesse cose che quelle chiese hanno sofferto dai Giudei,
1 Tessalonicesi 2:15	i quali hanno ucciso sia il Signore Gesù sia i profeti, hanno cacciato noi, e non piacciono a Dio, e sono avversi a tutti gli uomini,
1 Tessalonicesi 2:16	vietandoci di parlare ai Gentili perché siano salvati. Essi vengono così colmando senza posa la misura dei loro peccati, ma ormai li ha raggiunti l’ira finale.
1 Tessalonicesi 2:17	Quanto a noi, fratelli, privati di voi per breve tempo, di persona, non di cuore, abbiamo tanto più cercato, con grande desiderio, di vedere la vostra faccia.
1 Tessalonicesi 2:18	Perciò abbiamo voluto, almeno io Paolo, non una ma due volte, venire da voi; ma Satana ce lo ha impedito.
1 Tessalonicesi 2:19	Qual è infatti la nostra speranza, o la nostra allegrezza, o la corona di cui ci gloriamo? Non siete forse voi, nel cospetto del nostro Signore Gesù quando egli verrà?
1 Tessalonicesi 2:20	Sì, certo, la nostra gloria e la nostra allegrezza siete voi.
1 Tessalonicesi 3:1	Perciò, non potendo più resistere, ci sembrò bene essere lasciati soli ad Atene
1 Tessalonicesi 3:2	e mandammo Timoteo, nostro fratello e ministro di Dio nel Vangelo di Cristo, per confermarvi e confortarvi nella vostra fede,
1 Tessalonicesi 3:3	affinché nessuno fosse scosso in mezzo a queste afflizioni, poiché voi stessi sapete che a questo siamo destinati.
1 Tessalonicesi 3:4	Perché anche quando eravamo fra voi, vi predicevamo che saremmo stati afflitti, come anche è avvenuto, e voi lo sapete.
1 Tessalonicesi 3:5	Perciò anch’io, non potendo più resistere, mandai a informarmi della vostra fede, per tinore che il tentatore vi avesse tentati e la nostra fatica fosse risultata vana.
1 Tessalonicesi 3:6	Ma ora che Timoteo da voi è giunto presso di noi e ci ha recato liete notizie della vostra fede e del vostro amore, e ci ha detto che serbate continuamente un buon ricordo di noi bramando di vederci, come anche noi bramiamo di vedervi,
1 Tessalonicesi 3:7	per questa ragione, fratelli, siamo stati consolati a vostro riguardo, in mezzo a tutte le nostre difficoltà e afflizioni, mediante la vostra fede,
1 Tessalonicesi 3:8	perché ora viviamo, se voi state saldi nel Signore.
1 Tessalonicesi 3:9	Poiché quali grazie possiamo noi rendere a Dio, a vostro riguardo, per tutta l’allegrezza della quale ci rallegriamo a motivo di voi nel cospetto del nostro Dio,
1 Tessalonicesi 3:10	mentre notte e giorno preghiamo intensamente di poter vedere la vostra faccia e supplire alle lacune della vostra fede?
1 Tessalonicesi 3:11	Ora Dio stesso, nostro Padre, e il nostro Signore Gesù ci appianino la via per venire da voi;
1 Tessalonicesi 3:12	e quanto a voi, il Signore vi accresca e vi faccia abbondare in amore gli uni verso gli altri e verso tutti, come anche noi abbondiamo verso di voi,
1 Tessalonicesi 3:13	per rendere saldi i vostri cuori, affinché siano irreprensibili in santità nel cospetto di Dio nostro Padre, quando il nostro Signore Gesù verrà con tutti i suoi santi.
1 Tessalonicesi 4:1	Del resto, fratelli, come avete imparato da noi il modo in cui vi dovete condurre e piacere a Dio (ed è così che già vi conducete), vi preghiamo e vi esortiamo nel Signore Gesù a progredire sempre di più.
1 Tessalonicesi 4:2	Poiché sapete quali comandamenti vi abbiamo dato per la grazia del Signore Gesù.
1 Tessalonicesi 4:3	Perché questa è la volontà di Dio: che vi santifichiate, che vi asteniate dalla fornicazione,
1 Tessalonicesi 4:4	che ciascuno di voi sappia possedere il proprio corpo in santità e onore,
1 Tessalonicesi 4:5	non dandosi a passioni di concupiscenza come fanno i pagani, che non conoscono Dio;
1 Tessalonicesi 4:6	e che nessuno opprima il fratello né lo sfrutti negli affari, perché il Signore è un vendicatore in tutte queste cose, come anche vi abbiamo in precedenza detto e attestato.
1 Tessalonicesi 4:7	Poiché Dio ci ha chiamato non all’impurità, ma alla santificazione.
1 Tessalonicesi 4:8	Chi dunque disprezza questi precetti, non sprezza un uomo, ma quel Dio, il quale anche vi dona il suo Santo Spirito.
1 Tessalonicesi 4:9	Ora, quanto all’amore fraterno non avete bisogno che io ve ne scriva, poiché voi stessi siete stati ammaestrati da Dio ad amarvi gli uni gli altri;
1 Tessalonicesi 4:10	e invero voi lo fate verso tutti i fratelli che sono nell’intera Macedonia. Ma vi esortiamo, fratelli, che abbondiate sempre più in questo, e vi sforziate di vivere in pace,
1 Tessalonicesi 4:11	di occuparvi delle vostre cose e di lavorare con le vostre mani, come vi abbiamo ordinato di fare,
1 Tessalonicesi 4:12	affinché camminiate onestamente verso quelli di fuori, e non abbiate bisogno di nessuno.
1 Tessalonicesi 4:13	Ora, fratelli, non vogliamo che siate ignoranti riguardo a quelli che dormono, affinché non siate rattristati come gli altri che non hanno speranza.
1 Tessalonicesi 4:14	Poiché, se crediamo che Gesù è morto ed è risuscitato, così pure Dio, per mezzo di Gesù, ricondurrà con lui quelli che si sono addormentati.
1 Tessalonicesi 4:15	Poiché questo vi diciamo per parola del Signore: che noi viventi che saremo rimasti fino alla venuta del Signore non precederemo quelli che si sono addormentati;
1 Tessalonicesi 4:16	perché il Signore stesso, con potente grido, con voce d’arcangelo e con la tromba di Dio, scenderà dal cielo, e i morti in Cristo risusciteranno per primi;
1 Tessalonicesi 4:17	poi noi viventi, che saremo rimasti, verremo insieme con loro rapiti sulle nuvole a incontrare il Signore nell’aria; e così saremo sempre con il Signore.
1 Tessalonicesi 4:18	Consolatevi dunque gli uni gli altri con queste parole.
1 Tessalonicesi 5:1	Ora, quanto ai tempi e ai momenti, fratelli, non avete bisogno che vi se ne scriva,
1 Tessalonicesi 5:2	perché voi stessi sapete molto bene che il giorno del Signore verrà come viene un ladro nella notte.
1 Tessalonicesi 5:3	Quando diranno: “Pace e sicurezza”, allora subito una improvvisa rovina verrà loro addosso, come le doglie alla donna incinta, e non scamperanno affatto.
1 Tessalonicesi 5:4	Ma voi, fratelli, non siete nelle tenebre, così che quel giorno vi colga come un ladro,
1 Tessalonicesi 5:5	poiché voi tutti siete figli della luce e figli del giorno; noi non siamo della notte né delle tenebre;
1 Tessalonicesi 5:6	non dormiamo dunque come gli altri, ma vegliamo e siamo sobri.
1 Tessalonicesi 5:7	Poiché quelli che dormono, dormono di notte; e quelli che si inebriano, si inebriano di notte;
1 Tessalonicesi 5:8	ma noi, che siamo del giorno, siamo sobri, avendo indossato la corazza della fede e dell’amore, e preso per elmo la speranza della salvezza.
1 Tessalonicesi 5:9	Poiché Dio non ci ha destinato all’ira, ma a ottenere salvezza per mezzo del nostro Signore Gesù Cristo,
1 Tessalonicesi 5:10	il quale è morto per noi affinché, sia che vegliamo sia che dormiamo, viviamo insieme con lui.
1 Tessalonicesi 5:11	Perciò, consolatevi gli uni gli altri, e edificatevi l’un l’altro, come d’altronde già fate.
1 Tessalonicesi 5:12	Ora, fratelli, vi preghiamo di avere riguardo per coloro che faticano fra voi, che vi sono preposti nel Signore e vi ammoniscono,
1 Tessalonicesi 5:13	e di tenerli in grande stima e di amarli a motivo della loro opera. Vivete in pace fra voi.
1 Tessalonicesi 5:14	Vi esortiamo, fratelli, ad ammonire gli indisciplinati, a confortare gli scoraggiati, a sostenere i deboli, a essere longanimi verso tutti.
1 Tessalonicesi 5:15	Guardate che nessuno renda ad alcuno male per male; anzi procacciate sempre il bene gli uni degli altri, e quello di tutti.
1 Tessalonicesi 5:16	Siate sempre allegri;
1 Tessalonicesi 5:17	non cessate mai di pregare;
1 Tessalonicesi 5:18	in ogni cosa rendete grazie, poiché tale è la volontà di Dio in Cristo Gesù verso di voi.
1 Tessalonicesi 5:19	Non spegnete lo Spirito;
1 Tessalonicesi 5:20	non disprezzate le profezie;
1 Tessalonicesi 5:21	ma esaminate ogni cosa e tenete il bene;
1 Tessalonicesi 5:22	astenetevi da ogni specie di male.
1 Tessalonicesi 5:23	Ora, il Dio della pace vi santifichi Egli stesso completamente e il vostro intero essere, lo spirito, l’anima e il corpo, sia conservato irreprensibile per la venuta del nostro Signore Gesù Cristo.
1 Tessalonicesi 5:24	Fedele è Colui che vi chiama, ed Egli farà anche questo.
1 Tessalonicesi 5:25	Fratelli, pregate per noi.
1 Tessalonicesi 5:26	Salutate tutti i fratelli con un santo bacio.
1 Tessalonicesi 5:27	Io vi scongiuro per il Signore a far sì che questa epistola sia letta a tutti i fratelli.
1 Tessalonicesi 5:28	La grazia del nostro Signore Gesù Cristo sia con voi.
2 Tessalonicesi 1:1	Paolo, Silvano e Timoteo, alla chiesa dei Tessalonicesi, che è in Dio nostro Padre e nel Signore Gesù Cristo,
2 Tessalonicesi 1:2	grazia a voi e pace da Dio Padre e dal Signore Gesù Cristo.
2 Tessalonicesi 1:3	Noi dobbiamo sempre rendere grazie a Dio per voi, fratelli, come è giusto, perché la vostra fede cresce grandemente e l’amore di ciascuno di tutti voi per gli altri abbonda sempre di più,
2 Tessalonicesi 1:4	così che noi stessi ci gloriamo di voi nelle chiese di Dio, a motivo della vostra costanza e fede in tutte le vostre persecuzioni e nelle afflizioni che voi sopportate.
2 Tessalonicesi 1:5	Questa è una prova del giusto giudizio di Dio, affinché siate riconosciuti degni del regno di Dio, per il quale anche patite.
2 Tessalonicesi 1:6	Poiché è cosa giusta da parte di Dio rendere a quelli che vi affliggono afflizione
2 Tessalonicesi 1:7	e a voi che siete afflitti riposo con noi, quando il Signore Gesù apparirà dal cielo con gli angeli della sua potenza,
2 Tessalonicesi 1:8	in un fuoco fiammeggiante, per fare vendetta di coloro che non conoscono Dio e di coloro che non obbediscono al Vangelo del nostro Signore Gesù,
2 Tessalonicesi 1:9	i quali saranno puniti con eterna distruzione, respinti dalla presenza del Signore e dalla gloria del suo potere,
2 Tessalonicesi 1:10	quando verrà per essere in quel giorno glorificato nei suoi santi e ammirato in tutti quelli che hanno creduto, e in voi pure, poiché avete creduto alla nostra testimonianza dinanzi a voi.
2 Tessalonicesi 1:11	Ed è a quel fine che preghiamo anche continuamente per voi affinché il nostro Dio vi reputi degni di una tale vocazione e compia con potere ogni vostro buon desiderio e l’opera della vostra fede,
2 Tessalonicesi 1:12	affinché il nome del nostro Signore Gesù sia glorificato in voi, e voi in lui, secondo la grazia del nostro Dio e del Signore Gesù Cristo.
2 Tessalonicesi 2:1	Ora, fratelli, circa la venuta del nostro Signore Gesù Cristo e il nostro radunarci con lui,
2 Tessalonicesi 2:2	vi preghiamo di non lasciarvi così presto travolgere la mente, né turbare sia da ispirazioni, sia da discorsi, sia da qualche epistola data come nostra, quasi che il giorno del Signore fosse imminente.
2 Tessalonicesi 2:3	Nessuno vi tragga in errore in alcuna maniera, poiché quel giorno non verrà se prima non sia venuta l’apostasia e non sia stato manifestato l’uomo del peccato, il figlio della perdizione,
2 Tessalonicesi 2:4	l’avversario, colui che si innalza sopra tutto quello che è chiamato Dio o oggetto di culto, fino al punto da porsi a sedere nel tempio di Dio, mostrando se stesso e dicendo che egli è Dio.
2 Tessalonicesi 2:5	Non vi ricordate che quando ero ancora presso di voi io vi dicevo queste cose?
2 Tessalonicesi 2:6	E ora voi sapete quello che lo trattiene affinché egli sia manifestato a suo tempo.
2 Tessalonicesi 2:7	Poiché il mistero dell’empietà è già all’opera, ma solo finché chi lo trattiene non sia tolto di mezzo.
2 Tessalonicesi 2:8	E allora sarà manifestato l’empio, che il Signore Gesù distruggerà con il soffio della sua bocca e annienterà con l’apparizione della sua venuta.
2 Tessalonicesi 2:9	La venuta di quell’empio avrà luogo, per l’azione efficace di Satana, con ogni sorta di opere potenti, di segni e di prodigi bugiardi
2 Tessalonicesi 2:10	e con ogni sorta di inganno di iniquità a danno di quelli che periscono perché non hanno aperto il cuore all’amore della verità per essere salvati.
2 Tessalonicesi 2:11	E perciò Dio manda loro influenza ingannatrice affinché credano alla menzogna;
2 Tessalonicesi 2:12	affinché tutti quelli che non hanno creduto alla verità, ma si sono compiaciuti nell’iniquità, siano giudicati.
2 Tessalonicesi 2:13	Ma noi dobbiamo rendere continuamente grazie per voi a Dio, fratelli amati dal Signore, perché Dio fin dal principio vi ha eletto a salvezza mediante la santificazione nello Spirito e la fede nella verità.
2 Tessalonicesi 2:14	A questo Egli vi ha pure chiamato per mezzo del nostro Vangelo, affinché giungiate a ottenere la gloria del nostro Signore Gesù Cristo.
2 Tessalonicesi 2:15	Così dunque, fratelli, state saldi e attenetevi agli insegnamenti che vi abbiamo trasmesso sia con la parola, sia con una nostra epistola.
2 Tessalonicesi 2:16	Ora, lo stesso Signore nostro Gesù Cristo e Dio nostro Padre, che ci ha amato e ci ha dato per la sua grazia una consolazione eterna e una buona speranza,
2 Tessalonicesi 2:17	consoli i vostri cuori e vi renda fermi in ogni opera buona e in ogni buona parola.
2 Tessalonicesi 3:1	Per il resto, fratelli, pregate per noi perché la parola del Signore si diffonda e sia glorificata come è tra voi,
2 Tessalonicesi 3:2	e perché noi siamo liberati dagli uomini molesti e malvagi, poiché non tutti hanno la fede.
2 Tessalonicesi 3:3	Ma il Signore è fedele, ed egli vi renderà saldi e vi custodirà dal maligno.
2 Tessalonicesi 3:4	E noi abbiamo di voi questa fiducia nel Signore, che fate e farete le cose che vi ordiniamo.
2 Tessalonicesi 3:5	E il Signore diriga i vostri cuori all’amore di Dio e alla paziente attesa di Cristo.
2 Tessalonicesi 3:6	Ora, fratelli, noi vi ordiniamo nel nome del nostro Signore Gesù Cristo che vi teniate lontani da ogni fratello che si conduce in maniera sregolata e non secondo l’insegnamento che avete ricevuto da noi.
2 Tessalonicesi 3:7	Poiché voi stessi sapete come è che ci dovete imitare: perché noi non ci siamo condotti in maniera sregolata fra voi,
2 Tessalonicesi 3:8	né abbiamo mangiato gratuitamente il pane di nessuno, ma con fatica e con pena abbiamo lavorato notte e giorno per non essere di peso ad alcuno di voi.
2 Tessalonicesi 3:9	Non che non abbiamo il diritto di farlo, ma abbiamo voluto darvi noi stessi come esempio, perché ci imitaste.
2 Tessalonicesi 3:10	E infatti, quando eravamo con voi, vi comandavamo questo: che se qualcuno non vuole lavorare, neppure deve mangiare.
2 Tessalonicesi 3:11	Perché sentiamo che alcuni si conducono fra voi in maniera sregolata, non lavorando affatto, ma affaccendandosi in cose vane.
2 Tessalonicesi 3:12	A quei tali noi ordiniamo e li esortiamo nel Signore Gesù Cristo che mangino il loro proprio pane, lavorando con tranquillità.
2 Tessalonicesi 3:13	Quanto a voi, fratelli, non vi stancate di fare il bene.
2 Tessalonicesi 3:14	E se qualcuno non obbedisce a quello che diciamo in questa epistola, sia segnalato e non abbiate relazione con lui, affinché si vergogni.
2 Tessalonicesi 3:15	Però non consideratelo un nemico, ma ammonitelo come fratello.
2 Tessalonicesi 3:16	Ora, il Signore della pace vi dia egli stesso continuamente la pace in ogni maniera. Il Signore sia con tutti voi.
2 Tessalonicesi 3:17	Il saluto è di mia propria mano; di me, Paolo; questo serve di segno in ogni mia epistola; scrivo così.
2 Tessalonicesi 3:18	La grazia del nostro Signore Gesù Cristo sia con tutti voi.
1 Timoteo 1:1	Paolo, apostolo di Cristo Gesù per comandamento di Dio nostro Salvatore e di Cristo Gesù nostra speranza,
1 Timoteo 1:2	a Timoteo mio vero figlio in fede: grazia, misericordia, pace da Dio Padre e da Cristo Gesù nostro Signore.
1 Timoteo 1:3	Ti ripeto l’esortazione che ti feci quando andavo in Macedonia, di rimanere a Efeso per ordinare ad alcuni che non insegnino dottrina diversa
1 Timoteo 1:4	né si occupino di favole e di genealogie senza fine, le quali producono questioni, anziché promuovere la dispensazione di Dio, che è in fede.
1 Timoteo 1:5	Ma il fine di questo incarico è l’amore procedente da un cuore puro, da una buona coscienza e da fede non finta;
1 Timoteo 1:6	dalle quali cose alcuni, avendo deviato, si sono rivolti a un vano parlare,
1 Timoteo 1:7	volendo essere dottori della legge, quantunque non comprendano quello che dicono, né quello che danno per certo.
1 Timoteo 1:8	Ora, noi sappiamo che la legge è buona, se uno la usa legittimamente,
1 Timoteo 1:9	riconoscendo che la legge è fatta non per il giusto, ma per gli iniqui e i ribelli, per gli empi e i peccatori, per gli scellerati e gli irreligiosi, per i percuotitori di padre e madre,
1 Timoteo 1:10	per gli omicidi, per i fornicatori, per i sodomiti, per i ladri di uomini, per i bugiardi, per gli spergiuri e per ogni altra cosa contraria alla sana dottrina,
1 Timoteo 1:11	secondo il Vangelo della gloria del beato Dio, che mi è stato affidato.
1 Timoteo 1:12	Io rendo grazie a colui che mi ha reso forte, a Cristo Gesù, nostro Signore, di avermi reputato degno della sua fiducia, ponendo al ministero me,
1 Timoteo 1:13	che prima ero un bestemmiatore, un persecutore e un oltraggiatore; ma misericordia mi è stata fatta, perché lo feci ignorantemente nella mia incredulità
1 Timoteo 1:14	e la grazia del nostro Signore è sovrabbondata con la fede e con l’amore che è in Cristo Gesù.
1 Timoteo 1:15	Certa è questa parola e degna di essere pienamente accettata: che Cristo Gesù è venuto nel mondo per salvare i peccatori, dei quali io sono il primo.
1 Timoteo 1:16	Ma per questo mi è stata fatta misericordia, affinché Gesù Cristo dimostrasse in me per primo tutta la sua longanimità, e io servissi di esempio a quelli che avrebbero creduto in lui per avere la vita eterna.
1 Timoteo 1:17	Ora, al re eterno, immortale, invisibile, all’unico Dio, siano onore e gloria nei secoli dei secoli. Amen.
1 Timoteo 1:18	Io ti affido questo incarico, o figlio mio Timoteo, in armonia con le profezie che sono state precedentemente fatte a tuo riguardo, affinché tu combatta in virtù di esse la buona guerra,
1 Timoteo 1:19	avendo fede e buona coscienza, rigettando la quale alcuni hanno naufragato quanto alla fede.
1 Timoteo 1:20	Fra questi ci sono Imeneo e Alessandro, che ho consegnato a Satana affinché imparino a non bestemmiare.
1 Timoteo 2:1	Io esorto dunque, prima di ogni altra cosa, che si facciano suppliche, preghiere, intercessioni, ringraziamenti per tutti gli uomini,
1 Timoteo 2:2	per i re e per tutti quelli che sono in autorità, affinché possiamo condurre una vita tranquilla e quieta, con ogni devozione e decoro.
1 Timoteo 2:3	Questo è buono e accettevole nel cospetto di Dio, nostro Salvatore,
1 Timoteo 2:4	il quale vuole che tutti gli uomini siano salvati e vengano alla conoscenza della verità.
1 Timoteo 2:5	Poiché c’è un solo Dio e anche un solo mediatore fra Dio e gli uomini, Cristo Gesù uomo,
1 Timoteo 2:6	il quale diede se stesso come prezzo di riscatto per tutti; fatto che doveva essere attestato a suo tempo,
1 Timoteo 2:7	e per attestare il quale io fui costituito predicatore e apostolo (io dico il vero, non mento), insegnante dei Gentili in fede e in verità.
1 Timoteo 2:8	Io voglio dunque che gli uomini preghino in ogni luogo, alzando mani pure, senza ira e senza dispute.
1 Timoteo 2:9	Similmente che le donne si adornino di abito convenevole, con pudore e modestia: non di trecce e di oro o di perle o di vesti sontuose,
1 Timoteo 2:10	ma di opere buone, come si addice a donne che fanno professione di devozione a Dio.
1 Timoteo 2:11	La donna impari in silenzio con ogni sottomissione.
1 Timoteo 2:12	Poiché non permetto alla donna di insegnare, né di usare autorità sul marito, ma stia in silenzio.
1 Timoteo 2:13	Perché Adamo fu formato per primo, e poi Eva;
1 Timoteo 2:14	e Adamo non fu sedotto; ma la donna, essendo stata sedotta, cadde in trasgressione.
1 Timoteo 2:15	Nondimeno sarà salvata partorendo figli, se persevererà nella fede, nell’amore e nella santificazione con modestia.
1 Timoteo 3:1	Certa è questa parola: se uno aspira all’ufficio di vescovo, desidera un’opera buona.
1 Timoteo 3:2	Bisogna dunque che il vescovo sia irreprensibile, marito di una sola moglie, sobrio, assennato, dignitoso, ospitale, atto a insegnare,
1 Timoteo 3:3	non dedito al vino né violento, ma sia mite, non litigioso, non amante del denaro,
1 Timoteo 3:4	che governi bene la propria famiglia e tenga i figli in sottomissione e in tutta riverenza
1 Timoteo 3:5	(che se uno non sa governare la propria famiglia, come potrà aver cura della chiesa di Dio?),
1 Timoteo 3:6	che non sia novizio, affinché, divenuto gonfio d’orgoglio, non cada nella condanna del diavolo.
1 Timoteo 3:7	Bisogna inoltre che abbia una buona testimonianza da quelli di fuori, affinché non cada nel biasimo e nel laccio del diavolo.
1 Timoteo 3:8	Parimenti i diaconi devono essere dignitosi, senza doppiezza nel parlare, non dediti a molto vino, non avidi di illeciti guadagni;
1 Timoteo 3:9	uomini che ritengano il mistero della fede in pura coscienza.
1 Timoteo 3:10	E anche questi siano prima messi alla prova; poi assumano l’ufficio di diaconi se sono irreprensibili.
1 Timoteo 3:11	Parimenti siano le donne dignitose, non maldicenti, sobrie, fedeli in ogni cosa.
1 Timoteo 3:12	I diaconi siano mariti di una sola moglie, e governino bene i loro figli e le loro famiglie.
1 Timoteo 3:13	Perché quelli che hanno svolto bene l’ufficio di diaconi si acquistano un buon grado e una grande franchezza nella fede che è in Cristo Gesù.
1 Timoteo 3:14	Io ti scrivo queste cose sperando di venire presto da te
1 Timoteo 3:15	e, se mai tardo, affinché tu sappia come bisogna comportarsi nella casa di Dio, che è la Chiesa del Dio vivente, colonna e base della verità.
1 Timoteo 3:16	E, senza contraddizione, grande è il mistero della devozione: Colui che è stato manifestato in carne è stato giustificato nello spirito, è apparso agli angeli, è stato predicato fra i Gentili, è stato creduto nel mondo, è stato elevato in gloria.
1 Timoteo 4:1	Ma lo Spirito dice espressamente che nei tempi a venire alcuni apostateranno dalla fede, dando retta a spiriti seduttori e a dottrine di demoni
1 Timoteo 4:2	per via dell’ipocrisia di bugiardi, segnati con un marchio nella loro propria coscienza,
1 Timoteo 4:3	i quali vieteranno il matrimonio e ordineranno l’astensione da cibi che Dio ha creato affinché quelli che credono e hanno conosciuto la verità ne usino con rendimento di grazie.
1 Timoteo 4:4	Poiché tutto quello che Dio ha creato è buono e nulla è da rifiutare, se usato con rendimento di grazie,
1 Timoteo 4:5	perché è santificato dalla parola di Dio e dalla preghiera.
1 Timoteo 4:6	Rappresentando queste cose ai fratelli, tu sarai un buon ministro di Cristo Gesù, nutrito delle parole della fede e della buona dottrina che hai seguito da vicino.
1 Timoteo 4:7	Ma evita le favole profane e da vecchie; esercitati invece alla devozione;
1 Timoteo 4:8	perché l’esercizio fisico è utile a poca cosa, mentre la devozione è utile a ogni cosa, avendo la promessa della vita presente e di quella a venire.
1 Timoteo 4:9	Certa è questa parola, degna di essere pienamente accettata.
1 Timoteo 4:10	Poiché per questo noi fatichiamo e lottiamo: perché abbiamo posto la nostra speranza nel Dio vivente, che è il Salvatore di tutti gli uomini, principalmente dei credenti.
1 Timoteo 4:11	Ordina queste cose e insegnale. Nessuno disprezzi la tua giovinezza,
1 Timoteo 4:12	ma sii d’esempio ai credenti, nel parlare, nella condotta, nell’amore, nella fede, nella castità.
1 Timoteo 4:13	Finché non torno, dedicati alla lettura, all’esortazione, all’insegnamento.
1 Timoteo 4:14	Non trascurare il dono che è in te, il quale ti fu dato per profezia quando ti furono imposte le mani dal collegio degli anziani.
1 Timoteo 4:15	Cura queste cose e datti a esse interamente, affinché il tuo progresso sia manifesto a tutti.
1 Timoteo 4:16	Bada a te stesso e all’insegnamento; persevera in queste cose, perché, facendo così, salverai te stesso e quelli che ti ascoltano.
1 Timoteo 5:1	Non riprendere aspramente l’uomo anziano, ma esortalo come un padre;
1 Timoteo 5:2	i giovani, come fratelli; le donne anziane, come madri; le giovani, come sorelle, con ogni castità.
1 Timoteo 5:3	Onora le vedove che sono veramente vedove.
1 Timoteo 5:4	Ma se una vedova ha dei figli o dei nipoti, imparino essi prima a mostrarsi devoti verso la propria famiglia e a rendere il contraccambio ai loro genitori, perché questo è accettevole nel cospetto di Dio.
1 Timoteo 5:5	Ora, la vedova che è veramente tale e sola al mondo ha posto la sua speranza in Dio e persevera in suppliche e preghiere notte e giorno;
1 Timoteo 5:6	ma quella che si dà ai piaceri, benché viva, è morta.
1 Timoteo 5:7	Anche queste cose ordina, affinché siano irreprensibili.
1 Timoteo 5:8	Se poi uno non provvede ai suoi, e principalmente a quelli di casa sua, ha rinnegato la fede, ed è peggiore dell’incredulo.
1 Timoteo 5:9	Sia la vedova iscritta nella lista quando non abbia meno di sessant’anni, quando sia stata moglie di un marito solo,
1 Timoteo 5:10	quando sia conosciuta per le sue buone opere: se ha allevato figli, se ha esercitato l’ospitalità, se ha lavato i piedi ai santi, se ha soccorso gli afflitti, se ha perseguito ogni opera buona.
1 Timoteo 5:11	Ma rifiuta le vedove più giovani, perché, dopo aver lussureggiato contro Cristo, vogliono sposarsi,
1 Timoteo 5:12	e sono colpevoli perché hanno ripudiato la prima fede;
1 Timoteo 5:13	e oltre a ciò imparano anche a essere oziose, andando attorno per le case; e non soltanto a essere oziose, ma anche pettegole e curiose, parlando di cose delle quali non si deve parlare.
1 Timoteo 5:14	Io voglio dunque che le vedove giovani si sposino, abbiano figli, governino la casa, non diano agli avversari alcuna occasione di maldicenza,
1 Timoteo 5:15	poiché già alcune si sono sviate per andare dietro a Satana.
1 Timoteo 5:16	Se qualche credente ha delle vedove, le soccorra, e la chiesa non ne sia gravata, affinché possa soccorrere quelle che sono veramente vedove.
