Matthäus 1:1	Stammbaum Jesu Christi, des Sohnes Davids, des Sohnes Abrahams:
1 Thessalonicher 3:5	Deshalb habe ich auch, als ich es nicht länger aushalten konnte, (einen Boten) an euch abgeschickt, um Kunde über euren Glaubensstand zu erhalten, ob nicht etwa der Versucher euch in Versuchung geführt habe und unsere Arbeit damit vergeblich werden sollte (oder: vereitelt worden sei).
1 Thessalonicher 3:6	Jetzt aber, nachdem Timotheus von euch zu uns zurückgekehrt ist und uns gute Botschaft von eurem Glauben und eurer Liebe gebracht und (uns berichtet hat,) daß ihr uns allezeit ein gutes Andenken bewahrt und euch nach einem Wiedersehen mit uns ebenso sehnet, wie auch wir uns nach euch sehnen,
1 Thessalonicher 3:7	so sind wir dadurch, was euch, liebe Brüder, betrifft, trotz aller unserer äußeren Not und Bedrängnis durch eure Glaubenstreue wieder guten Mutes geworden;
1 Thessalonicher 3:8	denn jetzt haben wir wieder vollen Lebensmut, wenn ihr feststeht im Herrn.
1 Thessalonicher 3:9	¶ Ja, wie könnten wir wohl Gott im Hinblick auf euch genug Dank als Gegengabe für all die Freude darbringen, mit der wir um euretwillen vor unserm Gott erfüllt sind?
1 Thessalonicher 3:10	Bei Tag und bei Nacht bitten wir ihn deshalb aufs inständigste darum, er wolle uns vergönnen, euch von Angesicht zu Angesicht wiederzusehen und den Mängeln abzuhelfen, die eurem Glauben noch anhaften.
1 Thessalonicher 3:11	Ja, er selbst, unser Gott und Vater, und unser Herr Jesus wolle uns den Weg zu euch bahnen!
1 Thessalonicher 3:12	Euch aber lasse der Herr in der Liebe zueinander und zu allen Menschen wachsen und reich werden, wie auch wir euch gegenüber (von Liebe durchdrungen sind)!
1 Thessalonicher 3:13	Ja, er mache eure Herzen fest, damit sie vor unserm Gott und Vater tadellos in Heiligkeit seien, wenn unser Herr Jesus mit allen seinen Heiligen kommt (oder: erscheint)!
1 Thessalonicher 4:1	Weiter nun, liebe Brüder, bitten und ermahnen wir euch in dem Herrn Jesus, daß ihr ganz so, wie ihr es von uns vernommen habt, auf welche Weise ihr wandeln und zu Gottes Wohlgefallen leben müßt, — ihr wandelt ja auch wirklich so —, daß ihr darin immer noch zunehmet (oder: vollkommener werdet);
1 Thessalonicher 4:2	ihr wißt ja, welche Weisungen wir euch im Auftrag des Herrn Jesus gegeben haben.
1 Thessalonicher 4:3	Denn das ist der Wille Gottes, eure Heiligung, daß ihr die Unzucht meidet,
1 Thessalonicher 4:4	daß ein jeder von euch wisse, sein eigenes Gefäß (d. h. wohl: Weib) sich zu erwerben (oder: zu besitzen) in Heiligkeit und Ehrbarkeit,
1 Thessalonicher 4:5	nicht in leidenschaftlicher Begierde wie die Heiden, die Gott nicht kennen,
1 Thessalonicher 4:6	daß niemand sich Übergriffe zuschulden kommen lasse und in Geschäften seinen Bruder übervorteile; denn ein Rächer ist der Herr über (oder: für) alle solche Verfehlungen, wie wir es euch schon früher gesagt und nachdrücklich bezeugt haben;
1 Thessalonicher 4:7	Gott hat uns ja nicht zur Unsittlichkeit berufen, sondern zur Heiligung.
1 Thessalonicher 4:8	Mithin wer (diese Weisungen) mißachtet, der mißachtet damit nicht einen Menschen, sondern Gott, denselben, der euch auch seinen heiligen Geist ins Herz gibt (oder: gegeben hat).
1 Thessalonicher 4:9	¶ Was sodann die Bruderliebe betrifft, so brauchen wir euch über diese nicht brieflich zu unterweisen, denn ihr seid selber von Gott gelehrt worden, einander zu lieben,
1 Thessalonicher 4:10	und ihr beweist das auch durch die Tat an allen Brüdern in ganz Mazedonien. Doch ermahnen wir euch, liebe Brüder, darin noch vollkommener zu werden
1 Thessalonicher 4:11	und eure Ehre darin zu suchen, daß ihr ein ruhiges Leben führt, euren eigenen Geschäften nachgeht und euch euer Brot mit eurer Hände Arbeit verdient. So haben wir es euch geboten,
1 Thessalonicher 4:12	damit ihr im Verkehr mit den Draußenstehenden (= Nichtchristen, vgl. Kol. 4,5) einen ehrbaren Wandel führt und niemandes Unterstützung nötig habt.
1 Thessalonicher 4:13	¶ Wir wollen euch aber, liebe Brüder, über die Entschlafenen (eig. die Schlafenden) nicht im Unklaren lassen, damit ihr nicht betrübt zu sein braucht, wie die anderen, die keine Hoffnung haben.
1 Thessalonicher 4:14	Denn so gewiß wir glauben, daß Jesus gestorben und auferstanden ist, ebenso gewiß wird Gott auch die Entschlafenen durch Jesus mit ihm zusammen (den gleichen Weg) führen (vgl. 2. Kor. 4,13 u. 14).
1 Thessalonicher 4:15	Denn das sagen wir euch auf Grund eines Wortes des Herrn: Wir, die wir leben, die wir bis zur Ankunft (oder: Wiederkunft) des Herrn übrigbleiben, werden vor den Entschlafenen nichts voraushaben*).
1 Thessalonicher 4:16	Denn der Herr selbst wird, sobald sein Weckruf ergeht, sobald die Stimme des Engelfürsten erschallt und die Posaune Gottes ertönt, vom Himmel herabkommen, und die Toten in Christus (oder: die in Christus Verstorbenen) werden zuerst auferstehen;
1 Thessalonicher 4:17	darauf werden wir, die wir noch leben und übriggeblieben sind, zusammen mit ihnen auf Wolken dem Herrn entgegen in die Luft entrückt werden; und alsdann werden wir allezeit (= für immer) mit dem Herrn vereinigt sein.
1 Thessalonicher 4:18	So tröstet euch also untereinander mit diesen Worten!
1 Thessalonicher 5:1	Was aber die Zeit und die Stunde**) betrifft, so bedürft ihr, liebe Brüder, darüber keiner schriftlichen Belehrung;
1 Thessalonicher 5:2	ihr wißt ja selber genau, daß der Tag des Herrn so kommt wie ein Dieb in der Nacht.
1 Thessalonicher 5:3	Wenn sie (d. h. die Kinder der Nacht, im Gegensatz zu V. 5 u. 8) sagen: „Jetzt herrscht Friede und Sicherheit”, (gerade) dann überfällt sie das Verderben plötzlich wie die Wehen eine schwangere Frau, und sie werden sicherlich nicht entrinnen.
1 Thessalonicher 5:4	Ihr aber, liebe Brüder, lebt nicht in Finsternis, daß der Tag (des Herrn) euch wie ein Dieb überraschen könnte;
1 Thessalonicher 5:5	denn ihr alle seid Söhne (= Angehörige) des Lichts und Söhne des Tages: wir haben mit der Nacht und der Finsternis nichts zu schaffen.
1 Thessalonicher 5:6	Laßt uns also nicht schlafen wie die anderen, sondern wachsam und nüchtern sein!
1 Thessalonicher 5:7	Denn die Schläfer schlafen bei Nacht, und die sich berauschen, sind bei Nacht trunken;
1 Thessalonicher 5:8	wir aber, die wir dem Tage angehören, wollen nüchtern bleiben, angetan mit dem Panzer des Glaubens und der Liebe und mit dem Helm der Hoffnung auf Rettung;
1 Thessalonicher 5:9	denn uns hat Gott nicht für das Zorngericht bestimmt, sondern dazu, daß wir die Rettung durch unsern Herrn Jesus Christus erlangen,
1 Thessalonicher 5:10	der für uns gestorben ist, damit wir, mögen wir (bei seinem Kommen noch) wachen (= am Leben sein) oder (schon) entschlafen sein, vereint mit ihm leben.
1 Thessalonicher 5:11	Darum ermahnt euch gegenseitig und erbauet euch einer den andern, wie ihr das ja auch tut!
1 Thessalonicher 5:12	¶ Wir bitten euch aber, liebe Brüder, denen Anerkennung zu zollen, die bei euch die Arbeiten (oder: Geschäfte) besorgen und eure Vorsteher und eure Seelsorger im Herrn sind;
1 Thessalonicher 5:13	haltet sie ganz besonders lieb und wert um ihrer Arbeit willen! Haltet Frieden untereinander!
1 Thessalonicher 5:14	¶ Sodann ermahnen wir euch, liebe Brüder: Weiset die Unordentlichen zurecht, ermutigt die Verzagten, nehmt euch der Schwachen an, verfahrt mit Geduld gegen alle!
1 Thessalonicher 5:15	Achtet darauf, daß niemand einem andern Böses mit Bösem vergelte, befleißigt euch vielmehr allezeit des Guten gegeneinander und gegen alle (Menschen)!
1 Thessalonicher 5:16	¶ Seid allezeit fröhlich,
1 Thessalonicher 5:17	betet ohne Unterlaß,
1 Thessalonicher 5:18	sagt in jeder Lage Dank, denn so will es Gott von euch in Christus Jesus.
1 Thessalonicher 5:19	Den (heiligen) Geist laßt in euch nicht erlöschen (= unterdrückt oder dämpft nicht);
1 Thessalonicher 5:20	prophetische Reden (vgl. Röm. 12,6) verachtet nicht.
1 Thessalonicher 5:21	Prüfet alles, behaltet das Gute;
1 Thessalonicher 5:22	meidet das Böse in jeder Gestalt!
1 Thessalonicher 5:23	¶ Er selbst aber, der Gott des Friedens, heilige euch durch und durch, und völlig tadellos (= unversehrt) möge euer Geist samt der Seele und dem Leibe bei der Wiederkunft unsers Herrn Jesus Christus bewahrt geblieben sein (oder: bewahrt bleiben, nämlich vor dem Gericht)!
1 Thessalonicher 5:24	Treu ist er, der euch beruft: er wird es auch vollführen.
1 Thessalonicher 5:25	¶ Liebe Brüder, betet für uns! Grüßet alle Brüder mit dem heiligen Kuß!
1 Thessalonicher 5:26	Ich beschwöre euch beim Herrn:
1 Thessalonicher 5:27	laßt diesen Brief zur Vorlesung bei allen Brüdern kommen
1 Thessalonicher 5:28	Die Gnade unsers Herrn Jesus Christus sei mit euch!
2 Thessalonicher 1:1	Wir, Paulus, Silvanus und Timotheus, senden unsern Gruß der Gemeinde der Thessaloniker in Gott, unserm Vater, und dem Herrn Jesus Christus.
2 Thessalonicher 1:2	Gnade sei (mit) euch und Friede von Gott dem Vater und dem Herrn Jesus Christus!
2 Thessalonicher 1:3	¶ Wir sind Gott allezeit zur Danksagung für euch, liebe Brüder, verpflichtet; das ist recht und billig, weil euer Glaube überaus kräftig wächst und die brüderliche Liebe bei jedem einzelnen von euch allen zunimmt,
2 Thessalonicher 1:4	so daß wir selbst uns in den Gemeinden Gottes euer rühmen wegen eurer Standhaftigkeit und Glaubenstreue in allen euren Verfolgungen und den Leiden, die ihr zu erdulden habt.
2 Thessalonicher 1:5	Darin liegt ein Hinweis auf das gerechte Gericht Gottes, daß ihr nämlich des Reiches Gottes würdig erachtet werdet*), um dessenwillen ihr eben zu leiden habt.
2 Thessalonicher 1:6	Denn das entspricht doch sicherlich der Gerechtigkeit Gottes, euren Bedrängern mit Drangsal zu vergelten,
2 Thessalonicher 1:7	euch aber, den Bedrängten, Erquickung in Gemeinschaft mit uns zuteil werden zu lassen, wenn der Herr Jesus sich vom Himmel her mit den Engeln seiner Macht
2 Thessalonicher 1:8	in loderndem Feuer offenbart, um Vergeltung an denen zu üben, die Gott nicht (aner)kennen, und an denen, die der Heilsbotschaft unsers Herrn Jesus kein Gehör schenken.
2 Thessalonicher 1:9	Diese werden als Strafe ewiges Verderben erleiden fern vom Angesicht des Herrn und fern von der Herrlichkeit seiner Kraft,
2 Thessalonicher 1:10	wenn er kommen wird, um unter seinen Heiligen verherrlicht zu werden und Bewunderung zu finden bei allen, die gläubig geworden sind — denn bei euch hat unser Zeugnis Glauben gefunden**) —, an jenem Tage.
2 Thessalonicher 1:11	¶ Im Hinblick hierauf beten wir auch allezeit für euch, unser Gott möge euch der (endgültigen) Berufung für würdig erachten und alle Freude am Guten und die Glaubensarbeit*) (in euch) kraftvoll zur Vollendung bringen,
2 Thessalonicher 1:12	damit der Name unsers Herrn Jesus in euch verherrlicht werde und ihr in ihm, wie es der Gnade unsers Gottes und des Herrn Jesus Christus entspricht.
2 Thessalonicher 2:1	Wir richten aber in betreff der Ankunft (= Wiederkunft) unsers Herrn Jesus Christus und unserer Vereinigung mit ihm (oder: Entrückung zu ihm) eine Bitte an euch, liebe Brüder:
2 Thessalonicher 2:2	Laßt euch nicht leichthin aus der ruhigen Überlegung in Aufregung versetzen und euch durch nichts erschrecken, weder durch eine Geistesoffenbarung noch durch (Berufung auf) eine Äußerung oder einen Brief, die angeblich von uns herrühren, als ob der Tag des Herrn schon da wäre.
2 Thessalonicher 2:3	Laßt euch von niemand auf irgend eine Weise täuschen; denn zunächst muß ja doch der Abfall eintreten und der Mensch der Gesetzlosigkeit (oder: des Frevels) erschienen sein, der Sohn des Verderbens,
2 Thessalonicher 2:4	der Widersacher, der sich über alles erhöht (oder: gegen alles erhebt), was Gott oder anbetungswürdig (oder: rechtmäßige Gottesverehrung) heißt, so daß er sich sogar in den Tempel Gottes setzt und sich für Gott ausgibt.
2 Thessalonicher 2:5	Erinnert ihr euch nicht, daß ich euch dies schon während meiner Anwesenheit bei euch wiederholt gesagt habe?
2 Thessalonicher 2:6	Und was die Gegenwart betrifft, so wißt ihr doch, was ihn noch zurückhält, damit er sich erst zu der für ihn bestimmten Zeit offenbaren kann.
2 Thessalonicher 2:7	Freilich — im geheimen ist die (Macht der) Gesetzlosigkeit bereits wirksam; nur muß erst der aus dem Wege geräumt werden (oder: sein), der sie bis jetzt noch zurückhält.
2 Thessalonicher 2:8	Dann erst wird der Gesetzlose (oder: Frevler) offen hervortreten, den der Herr Jesus aber durch den Hauch seines Mundes wegraffen (oder: umbringen) und durch den Eintritt seiner Ankunft vernichten wird,
2 Thessalonicher 2:9	ihn, dessen Auftreten sich als Wirksamkeit des Satans kundgibt durch alle möglichen Machttaten, Zeichen und Wunder der Lüge
2 Thessalonicher 2:10	und durch jede Art von Trug der Ungerechtigkeit (oder: trügerischer Verführung) für die, welche deshalb verloren gehen, weil sie die Liebe zur Wahrheit sich nicht zu eigen gemacht haben, um ihre Rettung zu erlangen.
2 Thessalonicher 2:11	Und aus diesem Grunde sendet Gott ihnen einen starken Irrwahn, damit sie der Lüge Glauben schenken;
2 Thessalonicher 2:12	denn alle sollen dem Gericht verfallen, die nicht der Wahrheit Glauben geschenkt, sondern Wohlgefallen an der Ungerechtigkeit gefunden haben.
2 Thessalonicher 2:13	¶ Wir aber sind verpflichtet, Gott für euch, vom Herrn geliebte Brüder, allezeit Dank zu sagen, weil Gott euch von Anfang an**) zur Errettung erwählt hat durch die vom Geist gewirkte Heiligung und durch den Glauben an die Wahrheit.
2 Thessalonicher 2:14	Dazu hat er euch ja auch durch unsere Heilsverkündigung berufen, damit ihr(einst) die Herrlichkeit unsers Herrn Jesus Christus erlangt
2 Thessalonicher 2:15	So stehet denn fest, liebe Brüder, und haltet euch an die überlieferten Lehren (oder: Weisungen), die euch, sei es mündlich, sei es brieflich, von uns übermittelt worden sind.
2 Thessalonicher 2:16	Er selbst aber, unser Herr Jesus Christus, und Gott, unser Vater, der uns geliebt und uns einen ewigen Trost und eine gute Hoffnung in Gnaden geschenkt hat,
2 Thessalonicher 2:17	der tröste (= ermutige) eure Herzen und mache sie stark in jedem guten Werk und Wort!
2 Thessalonicher 3:1	Im übrigen, liebe Brüder, betet für uns, daß das Wort des Herrn laufe (= sich schnell ausbreite) und in seiner Herrlichkeit offenbar werden möge, wie bei euch,
2 Thessalonicher 3:2	und daß wir von den verkehrten und bösartigen Menschen errettet werden; denn der Glaube ist nicht jedermanns Sache*).
2 Thessalonicher 3:3	Treu aber ist der Herr, der euch stärken und vor dem Bösen (= dem Teufel) behüten wird.
2 Thessalonicher 3:4	Wir haben aber im Herrn das Vertrauen zu euch, daß ihr unsern Weisungen nachkommt und immer nachkommen werdet.
2 Thessalonicher 3:5	Der Herr aber lenke eure Herzen zur Liebe Gottes (oder: gegen Gott) und zum standhaften Ausharren Christi (oder: zum geduldigen Harren auf Christus)!
2 Thessalonicher 3:6	¶ Wir gebieten euch aber, liebe Brüder, im Namen des Herrn Jesus Christus: ziehet euch von jedem Bruder zurück, der einen unordentlichen Lebenswandel führt und nicht nach der Unterweisung (oder: den Weisungen lebt), die ihr von uns empfangen habt**).
2 Thessalonicher 3:7	Ihr wißt ja selbst, wie ihr uns zum Vorbild nehmen sollt; denn wir haben unter euch keinen unordentlichen Wandel geführt,
2 Thessalonicher 3:8	haben auch nicht unentgeltlich jemandes Brot gegessen, sondern haben Tag und Nacht angestrengt und mühselig gearbeitet, um keinem von euch zur Last zu fallen;
2 Thessalonicher 3:9	nicht als ob wir nicht das Recht dazu hätten, nein wir wollten euch an uns ein Vorbild geben, damit ihr uns nachfolgen solltet.
2 Thessalonicher 3:10	Denn schon während unsers Aufenthalts bei euch haben wir euch dieses Gebot gegeben: „Wenn einer nicht arbeiten will, dann soll er auch nicht essen!”
2 Thessalonicher 3:11	Es ist uns nämlich zu Ohren gekommen, daß manche unter euch einen unordentlichen Lebenswandel führen, indem sie, statt zu arbeiten, sich unnütz umhertreiben.
2 Thessalonicher 3:12	Solchen Leuten schärfen wir aber nachdrücklich im Herrn Jesus Christus ein, daß sie sich ihr eigenes Brot in stiller Arbeit selbst verdienen sollen.
2 Thessalonicher 3:13	Ihr (anderen) aber, liebe Brüder, werdet nicht müde, das Rechte zu tun.
2 Thessalonicher 3:14	Sollte jemand aber dieser unserer brieflichen Weisung nicht nachkommen, so merkt ihn euch und meidet den Verkehr mit ihm, damit er in sich gehe;
2 Thessalonicher 3:15	doch sehet in ihm keinen Feind, sondern weist ihn als einen Bruder zurecht.
2 Thessalonicher 3:16	Er selbst aber, der Herr des Friedens, gebe euch seinen Frieden immerdar auf alle Weise! Der Herr sei mit euch allen!
2 Thessalonicher 3:17	¶ Hier mein, des Paulus, eigenhändiger Gruß! Dies ist das (beglaubigende) Kennzeichen in jedem meiner Briefe: so schreibe ich (= so sieht meine Handschrift oder: Namensunterschrift aus)!
2 Thessalonicher 3:18	Die Gnade unsers Herrn Jesus Christus sei mit euch allen!
1 Timotheus 1:1	Ich, Paulus, ein Apostel Christi Jesu nach dem Auftrage (oder: infolge der Verordnung) Gottes, unsers Retters (oder: Heilands), und Christi Jesu, der unsere Hoffnung ist,
1 Timotheus 1:2	sende meinen Gruß dem Timotheus, meinem echten Sohn im Glauben (= Glaubenskinde): Gnade, Barmherzigkeit und Friede (sei mit dir) von Gott dem Vater und unserm Herrn Christus Jesus!
1 Timotheus 1:3	¶ Ich habe dich bei meiner Abreise nach Mazedonien aufgefordert, noch länger in Ephesus zu bleiben, damit du gewissen Leuten gebieten möchtest, keine fremden (= abweichenden) Lehren vorzutragen
1 Timotheus 1:4	und sich nicht mit Fabeln (= Mythen) und endlosen Geschlechtsverzeichnissen zu befassen, die ja doch eher Anlaß zu spitzfindigen Untersuchungen (oder: zu Streitigkeiten) als zu einer im Glauben sich vollziehenden Wirksamkeit eines Haushalters Gottes geben.
1 Timotheus 1:5	Das Endziel (= der Zweck) der Heilsverkündigung ist aber Liebe, die aus reinem Herzen und gutem Gewissen und ungeheucheltem Glauben stammt.
1 Timotheus 1:6	Davon sind manche abgeirrt und haben sich leerem Geschwätz zugewandt;
1 Timotheus 1:7	sie wollen Belehrung über das Gesetz erteilen, ohne doch das nötige Verständnis für das zu besitzen, was sie vortragen, und ebensowenig für das, worüber sie zuversichtliche Behauptungen aufstellen.
1 Timotheus 1:8	¶ Wir wissen aber, daß das Gesetz gut (= heilsam, nützlich) ist, wenn man es richtig**) anwendet,
1 Timotheus 1:9	nämlich in der Erkenntnis, daß für einen Gerechten das Gesetz überhaupt nicht da ist, sondern für Gesetzlose und Unbotmäßige, für Gottlose und Sünder, für Unfromme und solche, denen nichts heilig ist, für Menschen, die sich an Vater und Mutter vergreifen, für Mörder,
1 Timotheus 1:10	Unzüchtige, Knabenschänder, Menschenverkäufer (= Sklavenhändler), Lügner, Meineidige und was sonst noch in Widerspruch mit der gesunden Lehre steht,
1 Timotheus 1:11	wie sie die Heilsbotschaft von der Herrlichkeit des seligen Gottes darbietet, mit deren Verkündigung ich betraut worden bin.
1 Timotheus 1:12	¶ Dankbar bin ich dem, der mich stark gemacht hat, unserm Herrn Christus Jesus, dafür, daß er mich für treu erachtet hat, als er mich in seinen Dienst einsetzte,
1 Timotheus 1:13	obgleich ich früher doch ein Lästerer (seines Namens), ein Verfolger und gewalttätiger Frevler*) gewesen war. Doch mir ist Barmherzigkeit widerfahren, weil ich unbewußt so gehandelt hatte in ungläubigem Zustand.
1 Timotheus 1:14	Ja die Gnade unsers Herrn hat sich überschwenglich wirksam an mir erwiesen im Verein mit dem Glauben und Liebe, die in Christus Jesus wurzeln.
1 Timotheus 1:15	Zuverlässig ist das Wort und wert, daß alle es annehmen: „Christus Jesus ist in die Welt gekommen, um Sünder zu retten”, unter denen ich der erste (= vornehmste) bin.
1 Timotheus 1:16	Aber gerade deshalb ist mir Barmherzigkeit widerfahren, weil Christus Jesus an mir als dem ersten die ganze Fülle seiner Langmut erweisen wollte, um an mir vorbildlich darzustellen, was für Menschen künftighin durch den Glauben an ihn zum ewigen Leben gelangen würden.
1 Timotheus 1:17	Ihm aber, dem Könige der Weltzeiten (Hebr. 1,2), dem unvergänglichen, unsichtbaren, alleinigen Gott, sei Ehre und Verherrlichung (= Lobpreis) in alle Ewigkeiten! Amen.
1 Timotheus 1:18	¶ Diese Anweisung (= den obigen Auftrag, vgl. V. 3) lege ich dir, mein Kind (= lieber Sohn) Timotheus, im Anschluß an die früher über dich ergangenen prophetischen Aussprüche ans Herz: Kämpfe in ihrer Kraft (oder: in der Erinnerung an sie) den guten Kampf,
1 Timotheus 1:19	indem du am Glauben festhältst und dir ein gutes Gewissen bewahrst! Von diesem haben sich manche leider gewaltsam losgesagt und dadurch am Glauben Schiffbruch erlitten,
1 Timotheus 1:20	wie z. B. Hymenäus und Alexander, die ich dem Satan übergeben habe, damit sie durch seine Züchtigung das Lästern verlernen.
1 Timotheus 2:1	So spreche ich denn zu allererst die Mahnung aus, daß man Bitten und Gebete, Fürbitten und Danksagungen für alle Menschen verrichte,
1 Timotheus 2:2	für Könige und alle obrigkeitlichen Personen, damit wir ein stilles und ruhiges Leben in aller Gottseligkeit (= rechten Verehrung Gottes) und Ehrbarkeit führen können.
1 Timotheus 2:3	So ist es löblich und wohlgefällig vor Gott, unserm Retter (oder: Heiland),
1 Timotheus 2:4	dessen Wille es ist, daß alle Menschen gerettet werden und zur Erkenntnis der Wahrheit kommen.
1 Timotheus 2:5	Denn es ist (nur) ein Gott, ebenso auch (nur) ein Mittler zwischen Gott und den Menschen, nämlich ein Mensch Christus Jesus**),
1 Timotheus 2:6	der sich selbst als Lösegeld für alle dahingegeben hat — das Zeugnis, (das) zu den festgesetzten Zeiten (verkündigt worden ist).
1 Timotheus 2:7	Für dieses (Zeugnis) bin ich zum Herold (= Verkündiger, Prediger) und Apostel bestellt worden — ich sage die Wahrheit, ich lüge nicht — : zum Lehrer der Heiden im Glauben und in der Wahrheit.
1 Timotheus 2:8	¶ Mein Wille ist nun, daß die Männer an jedem Versammlungsort beten sollen, indem sie heilige Hände aufheben, frei von Zorn und Zweifel.
1 Timotheus 2:9	Ebenso (will ich), daß die Frauen in züchtiger (oder: wohlanständiger) Kleidung im Verein mit Schamhaftigkeit und Sittsamkeit sich schmücken, nicht mit Haargeflechten und Goldzierat, mit Perlen oder kostbaren Gewändern,
1 Timotheus 2:10	sondern, wie es sich für Frauen geziemt, welche Gottesfurcht an den Tag legen wollen, mit guten Werken (oder: durch gutes Verhalten).
1 Timotheus 2:11	Die Frau suche (beim Gottesdienst) Belehrung durch stilles Zuhören in aller Unterordnung;
1 Timotheus 2:12	dagegen gestatte ich keiner Frau, Lehrvorträge zu halten oder sich die Gewalt über den Mann anzumaßen*); nein, sie soll in stiller Zurückhaltung verbleiben.
1 Timotheus 2:13	Denn Adam ist zuerst geschaffen worden, danach erst Eva;
1 Timotheus 2:14	auch hat nicht Adam sich verführen lassen, sondern die Frau ist dadurch, daß sie sich hat verführen lassen, in Übertretung geraten (= zu Fall gekommen).
1 Timotheus 2:15	Sie wird jedoch dadurch gerettet werden, daß sie Kindern das Leben gibt, vorausgesetzt, daß sie (d. h. die Frauen) im Glauben, in der Liebe und in einer mit Besonnenheit vollzogenen Heiligung verharren.
1 Timotheus 3:1	Zutreffend ist das Wort: „Wer nach dem Vorsteheramt**) strebt, begehrt eine köstliche Wirksamkeit.”
1 Timotheus 3:2	So muß denn der Vorsteher (oder: Bischof)***) unbescholten sein, eines Weibes Mann †), nüchtern (= ernst), besonnen, ehrbar, gastfrei, ein tüchtiger Lehrer,
1 Timotheus 3:3	kein Trinker und kein Händelsucher, sondern freundlich (oder: nachgiebig), frei von Streitsucht und Geldgier,
1 Timotheus 3:4	ein Mann, der seinem eigenen Hause gut vorsteht, indem er seine Kinder in Zucht (oder: Gehorsam) hält mit aller Würde (oder: Ehrbarkeit);
1 Timotheus 3:5	denn wenn jemand seinem eigenen Hause nicht vorzustehen weiß, wie sollte der für eine Gemeinde Gottes sorgen können?
1 Timotheus 3:6	Er darf auch kein Neubekehrter sein, sonst könnte er leicht in Hochmut geraten und der Beurteilung des Verleumders ††) anheimfallen.
1 Timotheus 3:7	Er muß sich aber auch bei denen, die draußen sind (= bei den nicht zur Gemeinde Gehörigen), eines guten Rufes erfreuen, damit er nicht in üble Nachrede gerät und in die Schlinge des Verleumders.
1 Timotheus 3:8	¶ Ebenso müssen auch die Gehilfen (oder: Diakonen) ehrbare Männer sein, nicht doppelzüngig, nicht übermäßigem Weingenuß oder häßlicher Gewinnsucht ergeben;
1 Timotheus 3:9	Männer, die das Geheimnis des Glaubens in einem reinen Gewissen bewahren.
1 Timotheus 3:10	Aber auch sie sollen zunächst einer Prüfung unterzogen werden (oder: eine Probe durchmachen) und erst dann den Dienst ausüben, wenn sie unbescholten (erfunden) sind.
1 Timotheus 3:11	Ebenso müssen auch ihre Frauen ehrbar sein, nicht klatschsüchtig, nüchtern (= ernst), zuverlässig in allen Beziehungen.
1 Timotheus 3:12	Die Gehilfen sollen jeder nur eines Weibes Mann sein (V. 2) und müssen die Leitung ihrer Kinder und ihres eigenen Hauswesens gut versehen;
1 Timotheus 3:13	denn die, welche den Dienst als Gehilfen gut versehen haben, erwerben sich dadurch eine wertvolle Vertrauensstellung und das Recht, im Vertrauen auf Christus Jesus †††) mit voller Zuversicht aufzutreten.
1 Timotheus 3:14	¶ Dies schreibe ich dir in der Hoffnung, recht bald zu dir kommen zu können;
1 Timotheus 3:15	sollte sich mein Kommen jedoch verzögern, so sollst du dir klar darüber sein, wie man sich im Hause Gottes zu verhalten hat, das da ist die Gemeinde des lebendigen Gottes, die Säule und Grundfeste der Wahrheit.
1 Timotheus 3:16	Und etwas unbestreitbar Großes ist das Geheimnis der Gottseligkeit*):„Er, der geoffenbart ist im Fleisch (vgl. Hebr. 2,14),als gerecht erwiesen im Geist (vgl. Röm. 1,3u. 4; 4,25; 1. Petr. 3,18),erschienen den Sendboten**) (vgl. Apg. 10,40—42; 1. Kor. 15,5—8),verkündigt (= gepredigt) unter den Völkern (vgl. Apg. 26,16—18),gläubig angenommen in der Welt,emporgehoben in die Herrlichkeit.”
1 Timotheus 4:1	Der Geist aber kündigt ausdrücklich an, daß in späteren Zeiten manche vom Glauben abfallen werden, weil sie sich irreführenden Geistern und Lehren, die von Dämonen herrühren, zuwenden,
1 Timotheus 4:2	verführt durch das heuchlerische Gebaren von Lügenrednern, die das Brandmal der Schuld im eigenen Gewissen tragen.
1 Timotheus 4:3	Es sind dies Leute, die das Heiraten verbieten und Enthaltsamkeit von Speisen (gebieten), welche Gott doch dazu geschaffen hat, daß die Gläubigen und alle, welche die Wahrheit erkannt haben, sie mit Danksagung genießen sollen.
1 Timotheus 4:4	Denn alles von Gott Geschaffene ist gut, und nichts (davon) ist verwerflich, wenn man es mit Danksagung hinnimmt;
1 Timotheus 4:5	es wird ja durch das Wort Gottes und durch Gebet geheiligt.
1 Timotheus 4:6	¶ Wenn du dieses den Brüdern vorhältst, wirst du ein löblicher Diener Christi Jesu sein, weil du zu deiner Speise die Worte des Glaubens und der guten Lehre machst, die du dir zur Richtschnur genommen hast.
1 Timotheus 4:7	Aber die wertlosen und nur den alten Weibern zusagenden Fabeln (1,4) weise zurück; übe dich dagegen zur Gottseligkeit (= in der Gottseligkeit zu wachsen).
1 Timotheus 4:8	Denn die dem Leibe gewidmete Übung bringt nur geringen Nutzen; die Gottseligkeit aber ist zu allen Dingen nütze, weil sie die Verheißung für das gegenwärtige wie für das zukünftige Leben hat.
1 Timotheus 4:9	Zuverlässig ist das Wort und wert, daß alle es anerkennen;
