Genesis 1:1	Im Anfang schuf Gott den Himmel und die Erde;
Psalmen 119:115	Weicht von mir, ihr Übeltäter!ich will die Gebote meines Gottes halten.
Psalmen 119:116	Stütze mich nach deiner Verheißung, daß ich lebe,und laß mich nicht in meiner Hoffnung getäuscht werden!
Psalmen 119:117	Stärke mich, auf daß ich Heil (oder: Rettung) erlange,und laß mich stets auf deine Satzungen achten!
Psalmen 119:118	Du verwirfst alle, die von deinen Satzungen abirren;denn erfolglos ist ihre Täuschung.
Psalmen 119:119	Wie Schlacken räumst du alle Gottlosen des Landes hinweg;darum liebe ich deine Zeugnisse.
Psalmen 119:120	Aus Furcht vor dir schaudert mein Leib,und mir ist bange vor deinen Gerichten.
Psalmen 119:121	Ich habe Recht und Gerechtigkeit geübt:gib mich nicht meinen Bedrückern preis!
Psalmen 119:122	Tritt für deinen Knecht zu seinem Heile ein,laß die Stolzen mir nicht Gewalt antun!
Psalmen 119:123	Meine Augen schmachten nach deiner Rettungund nach der Bestätigung deiner Gerechtigkeit.
Psalmen 119:124	Verfahre mit deinem Knecht nach deiner Gnadeund lehre mich deine Satzungen!
Psalmen 119:125	Dein Knecht bin ich, verleihe mir Einsicht,damit ich deine Zeugnisse verstehen lerne.
Psalmen 119:126	Zeit ist’s für den HErrn, zu handeln:sie haben ja dein Gesetz gebrochen.
Psalmen 119:127	Darum liebe ich deine Gebotemehr als Gold und als Feingold.
Psalmen 119:128	Darum schätze ich alle deine Befehle als richtig;jeder Lügenpfad ist mir verhaßt.
Psalmen 119:129	Wunderwerke sind deine Zeugnisse;darum hält mein Herz an ihnen fest.
Psalmen 119:130	Die Erschließung deiner Worte erleuchtet,verleiht den Einfältigen Einsicht.
Psalmen 119:131	Ich tue meinen Mund weit auf und lechze,denn mich verlangt nach deinen Geboten.
Psalmen 119:132	Wende dich zu mir und sei mir gnädig,wie es recht ist bei denen, die deinen Namen lieben!
Psalmen 119:133	Laß meine Schritte fest sein durch dein Wortund laß nichts Trügerisches (oder: kein Unrecht) über mich herrschen.
Psalmen 119:134	Erlöse mich von der Bedrückung der Menschen,so will ich deine Befehle befolgen.
Psalmen 119:135	Laß dein Angesicht leuchten gegen deinen Knechtund lehre mich deine Satzungen.
Psalmen 119:136	Tränenströme rinnen aus meinen Augen,weil viele dein Gesetz nicht befolgen.
Psalmen 119:137	Gerecht bist du, o HErr,und richtig sind deine Rechte (oder: Verordnungen).
Psalmen 119:138	In Gerechtigkeit hast du deine Zeugnisse verordnetund in unerschütterlicher Treue.
Psalmen 119:139	Mich verzehrt mein Eifer,weil meine Gegner deine Worte vergessen.
Psalmen 119:140	Dein Wort ist wohlgeläutert,und dein Knecht hat es lieb.
Psalmen 119:141	Gering bin ich und verachtet,doch deine Befehle vergesse ich nicht.
Psalmen 119:142	Deine Gerechtigkeit ist ewige Gerechtigkeit,und dein Gesetz ist Wahrheit.
Psalmen 119:143	Wenn Leiden und Not mich getroffen haben,sind deine Gebote dennoch meine Freude.
Psalmen 119:144	Deine Zeugnisse bleiben immerdar gerecht:verleihe mir Verständnis, so werde ich leben.
Psalmen 119:145	Ich rufe von ganzem Herzen: „Erhöre mich, HErr!”deine Satzungen will ich beobachten.
Psalmen 119:146	Ich rufe zu dir: „Hilf mir!”„so will ich deine Zeugnisse beobachten.”
Psalmen 119:147	Früh bin ich auf vor Tagesanbruch und flehe laut;auf dein Wort (= die Erfüllung deiner Verheißung) harre ich.
Psalmen 119:148	Meine Augen wachen die ganze Nacht hindurch,um über dein Wort (= deine Verheißung) nachzusinnen.
Psalmen 119:149	Höre meine Stimme nach deiner Gnade!o HErr, nach deinen Rechten (oder: Verordnungen) laß mich aufleben!
Psalmen 119:150	Mir haben sich Leute genaht, die der Arglist frönen:von deinem Gesetz sind sie fern;
Psalmen 119:151	doch du bist mir nahe, o HErr,und alle deine Gebote sind Wahrheit.
Psalmen 119:152	Längst weiß ich aus deinen Zeugnissen,daß du sie (d. h. deine Gebote) für ewig festgestellt hast.
Psalmen 119:153	Sieh mein Elend an und errette mich!denn dein Gesetz vergesse ich nicht.
Psalmen 119:154	Führe meine Sache und erlöse mich,schenke mir neues Leben nach deiner Verheißung!
Psalmen 119:155	Den Gottlosen bleibt die Hilfe (oder: Rettung) fern,denn sie kümmern sich nicht um deine Satzungen.
Psalmen 119:156	Deine Barmherzigkeit ist groß, o HErr:nach deinen Rechten (oder: Verordnungen) belebe mich wieder!
Psalmen 119:157	Groß ist meiner Verfolger und Gegner Zahl,doch von deinen Zeugnissen geh’ ich nicht ab.
Psalmen 119:158	Wenn ich Treulose sehe, so fühle ich Abscheu,weil sie dein Wort (oder: Gebot) nicht befolgen.
Psalmen 119:159	Sieh her, ich liebe deine Befehle:HErr, schenke mir neues Leben nach deiner Gnade!
Psalmen 119:160	Der ganze Inhalt deines Wortes ist Wahrheit,und ewig gilt jede Verordnung deiner Gerechtigkeit.
Psalmen 119:161	Fürsten haben mich ohne Ursach’ verfolgt;doch nur vor deinen Worten (= Drohungen) erbebt mein Herz.
Psalmen 119:162	„Ich freue mich über dein Wort (oder: deine Verheißung)wie einer, der große Beute gewinnt.
Psalmen 119:163	Lügen hasse und verabscheue ich,aber dein Gesetz ist mir lieb.
Psalmen 119:164	Siebenmal täglich preise ich dichum der Verordnungen deiner Gerechtigkeit willen.
Psalmen 119:165	Frieden (oder: Heil) in Fülle erlangen die Freunde deines Gesetzes,denn es gibt für sie kein Straucheln.
Psalmen 119:166	Ich hoffe auf deine Rettung, o HErr,denn ich habe deine Gebote gehalten.
Psalmen 119:167	Mein Herz befolgt deine Zeugnisse,und ich habe sie aufrichtig lieb.
Psalmen 119:168	Ich befolge deine Befehle und Zeugnisse;denn alle meine Wege sind dir bekannt.
Psalmen 119:169	Laß mein lautes Flehen zu dir dringen*), o HErr;verleih mir Verständnis für dein Wort!
Psalmen 119:170	Laß mein Beten vor dich kommen:errette mich nach deiner Verheißung!
Psalmen 119:171	Meine Lippen sollen Lobpreis sprudeln lassen,weil du mich deine Satzungen lehrst.
Psalmen 119:172	Meine Zunge soll von deinem Worte (oder: deiner Verheißung) singen;denn alle deine Gebote sind gerecht.
Psalmen 119:173	Laß deine Hand bereit sein, mir zu helfen,denn deine Befehle hab’ ich (zu Führern) erwählt.
Psalmen 119:174	Ich sehne mich nach deiner Hilfe, o HErr,und dein Gesetz ist meine Freude.
Psalmen 119:175	Laß meine Seele leben, daß sie dich preise,und deine Rechte (= Gerichte) mögen mir helfen!
Psalmen 119:176	Geh ich irre wie ein verlorenes Schaf, so suche deinen Knecht!denn deine Gebote habe ich nicht vergessen.**)
Psalmen 120:1	Ein Wallfahrtslied (oder Stufenlied?).Ich rief zum HErrn in meiner Not:da erhörte er mich.
Psalmen 120:2	O HErr, errette mich von der Lügenlippe,von der trügerischen Zunge!
Psalmen 120:3	Was wird Er dir jetzt und in Zukunft bescheren,du trügerische Zunge?
Psalmen 120:4	Geschärfte Kriegerpfeilesamt Kohlen vom Ginsterstrauch!
Psalmen 120:5	Wehe mir, daß ich als Fremdling in Mesech***) weile,daß ich wohne bei den Zelten von Kedar!†)
Psalmen 120:6	Lange genug schon weile ich hierbei Leuten, die den Frieden hassen.
Psalmen 120:7	Ich bin ganz friedlich gestimmt, doch was ich auch rede:sie gehen auf Krieg (= Streit) aus.
Psalmen 121:1	Ein Lied für Wallfahrten (oder für die Stufen?); vgl. 120.Ich hebe meine Augen auf zu den Bergen:von wo wird Hilfe mir kommen?
Psalmen 121:2	Meine Hilfe kommt vom HErrn,der Himmel und Erde geschaffen.
Psalmen 121:3	Er wird deinen Fuß nicht wanken lassen;nicht schlummert dein Hüter.
Psalmen 121:4	Nein, nicht schlummert und nicht schläftder Hüter Israels.
Psalmen 121:5	Der HErr ist dein Hüter, der HErr dein Schattenüber deiner rechten Hand*),
Psalmen 121:6	daß dich bei Tage die Sonne nicht sticht,noch der Mond in der Nacht.
Psalmen 121:7	Der HErr behütet dich vor allem Übel,er behütet deine Seele (oder: dein Leben);
Psalmen 121:8	der HErr behütet deinen Ausgang und Eingangvon nun an bis in Ewigkeit.
Psalmen 122:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120) Davids.Ich freute mich, als man mir sagte:„Wir wollen pilgern zum Hause des HErrn!”
Psalmen 122:2	So stehn denn nunmehr unsre Füßein deinen Toren, Jerusalem!
Psalmen 122:3	Jerusalem, du wiedererbauteals eine Stadt, die fest in sich geschlossen,
Psalmen 122:4	wohin die Stämme hinaufziehn, die Stämme des HErrn,nach der für Israel gültigen Weisung,dort den Namen des HErrn zu preisen;
Psalmen 122:5	denn dort waren einst aufgestellt die Stühle zum Gericht,die Stühle des Hauses Davids.
Psalmen 122:6	Bringet Jerusalem dar den Friedensgruß**):„Heil denen, die dich lieben!
Psalmen 122:7	„Friede herrsche vor deinen Mauern,***)„sichere Ruhe in deinen Palästen!”
Psalmen 122:8	Um meiner Brüder und Freunde willenwill ich dir Frieden (oder: Heil) wünschen;
Psalmen 122:9	um des Hauses des HErrn, unsres Gottes, willenwill ich Segen für dich erbitten†).
Psalmen 123:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120).Zu dir erhebe ich meine Augen,der du thronst im Himmel.
Psalmen 123:2	Siehe, wie die Augen der Knechteauf die Hand ihrer Herren,wie die Augen der Magdauf ihrer Gebieterin Hand:so blicken unsre Augen hin auf den HErrn, unsern Gott,bis er sich unser erbarmt.
Psalmen 123:3	Erbarme dich, HErr, erbarme dich unser!denn gründlich sind wir satt der Verachtung;
Psalmen 123:4	satt, ja übersatt ist uns die Seeledes Hohns der Leichtfertigen, der Verachtung der Stolzen.
Psalmen 124:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120) von David.„Wäre der HErr nicht für uns gewesen”— so bekenne Israel! —
Psalmen 124:2	„wäre der HErr nicht für uns gewesen,„als Menschen sich gegen uns erhoben:
Psalmen 124:3	„dann hätten sie uns lebendig verschlungen,„als ihr Zorn gegen uns entbrannt war;
Psalmen 124:4	„dann hätten die Wasser uns überflutet,„ein Wildbach hätte sich über uns ergossen;
Psalmen 124:5	„dann wären über uns hingegangen„die wildwogenden (oder: überwallenden) Fluten.”
Psalmen 124:6	Gepriesen sei der HErr, der uns nicht ihren Zähnenzum Raub hat preisgegeben!
Psalmen 124:7	Unsre Seele ist entschlüpft wie ein Vogel dem Netz der Vogelsteller:das Netz ist zerrissen, und wir sind frei geworden.
Psalmen 124:8	Unsre Hilfe steht im Namen des HErrn,der Himmel und Erde geschaffen.
Psalmen 125:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120).Die auf den HErrn vertrauen die gleichen dem Berge Zion,der nicht wankt, der in Ewigkeit feststeht.
Psalmen 125:2	Wie Berge Jerusalem rings umgeben,so umhegt der HErr sein Volkvon nun an bis in Ewigkeit.
Psalmen 125:3	Denn der Gottlosen Zepter wird nicht lasten bleibenauf dem Erbteil der Gerechten,damit nicht auch die Gerechten ihre Händeausstrecken zum Frevel.
Psalmen 125:4	Erweise deine Güte, HErr, den Gutenund denen, die redlichen Herzens sind!
Psalmen 125:5	Doch die auf ihre krummen Wege abbiegen,die lasse der HErr hinfahren mitsamt den Übeltätern!Heil über Israel!
Psalmen 126:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120).Als der HErr einst Zions Mißgeschick wandte,*)da war’s uns, als träumten wir.
Psalmen 126:2	Damals war unser Mund voll Lachensund unsre Zunge voll Jubels;damals sagte man unter den Heiden:„Der HErr hat Großes an ihnen getan!”
Psalmen 126:3	Ja, Großes hatte der HErr an uns getan:wie waren wir fröhlich!
Psalmen 126:4	Wende, o HErr, unser Mißgeschickgleich den Bächen im Mittagsland!
Psalmen 126:5	Die mit Tränen säen,werden mit Jubel ernten.
Psalmen 126:6	Wohl schreitet man weinend dahin,wenn man trägt den Samen zur Aussaat;doch jubelnd kehrt man heim,mit Garben beladen.
Psalmen 127:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120) Salomo’s.Wenn der HErr das Haus nicht baut,so arbeiten umsonst, die daran bauen;wenn der HErr nicht die Stadt behütet,so wacht der Wächter umsonst.
Psalmen 127:2	Vergebens ist’s für euch, daß früh ihr aufstehtund spät noch sitzt bei der Arbeit,um das Brot der Mühsal (= mühsam erworbnes Brot) zu essen;ebenso (reichlich) gibt er’s seinen Freunden im Schlaf. —
Psalmen 127:3	Ja, Söhne sind ein Geschenk des HErrn,und Kindersegen ist eine Belohnung.
Psalmen 127:4	Wie Pfeile in der Hand eines Kriegers (oder: Helden),so sind die Söhne der Jugendkraft:
Psalmen 127:5	wohl dem Manne, der mit ihnenseinen Köcher gefüllt hat!Die werden nicht zuschanden, wenn sie verhandelnmit Widersachern im Stadttor.
Psalmen 128:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120).Wohl jedem, der den HErrn fürchtetund auf seinen Wegen wandelt!
Psalmen 128:2	Deiner Hände Erwerb — du darfst ihn genießen:wohl dir, du hast es gut!
Psalmen 128:3	Dein Weib gleicht einem fruchtbaren Weinstockim Innern deines Hauses;deine Kinder sind wie Ölbaumschosserings um deinen Tisch.
Psalmen 128:4	Ja wahrlich, so wird der Mann gesegnet,der da fürchtet den HErrn.
Psalmen 128:5	Dich segne der HErr von Zion her,daß du schauest deine Lust an Jerusalems Glück dein Lebenlang
Psalmen 128:6	und sehest Kinder von deinen Kindern!Heil über Israel!
Psalmen 129:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120).Sie haben mich hart bedrängt von meiner Jugend an”— so bekenne Israel! —
Psalmen 129:2	„sie haben mich hart bedrängt von meiner Jugend an,„aber doch mich nicht überwältigt.
Psalmen 129:3	„Auf meinem Rücken haben die Pflüger gepflügt„und lange Furchen gezogen;
Psalmen 129:4	„doch der HErr ist gerecht: er hat zerhauen„der Gottlosen Stricke.”
Psalmen 129:5	Zuschanden müssen werden und rückwärts weichenalle, die Zion hassen!
Psalmen 129:6	Sie müssen gleichen dem Gras auf den Dächern,das dürr schon ist, bevor es in Halme schießt*),
Psalmen 129:7	mit dem der Schnitter seine Hand nicht füllt,noch der Garbenbinder seinen Gewandbausch (= Arm),
Psalmen 129:8	und bei dem, wer des Weges vorübergeht, nicht ruft:„Gottes Segen sei über euch!„Wir segnen euch im Namen des HErrn!”
Psalmen 130:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120).Aus der Tiefe rufe ich, HErr, zu dir:
Psalmen 130:2	„Allherr, höre auf meine Stimme,laß deine Ohren merken auf mein lautes Flehen!”
Psalmen 130:3	Wenn du, HErr, Sünden behalten (oder: anrechnen) willst,o Allherr, wer kann bestehn?
Psalmen 130:4	Doch bei dir ist die Vergebung,auf daß man dich fürchte.
Psalmen 130:5	Ich harre des HErrn, meine Seele harrt,und ich warte auf sein Wort (= seine Verheißung);
Psalmen 130:6	meine Seele harrt auf den Allherrnsehnsuchtsvoller als Wächter auf den Morgen.
Psalmen 130:7	Sehnsuchtsvoller als Wächter auf den Morgenharre, Israel, auf den HErrn!denn beim HErrn ist die Gnadeund Erlösung bei ihm in Fülle,
Psalmen 130:8	und er wird Israel erlösenvon allen seinen Sünden**).
Psalmen 131:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120) Davids.HErr, mein Herz ist nicht hochfahrend,und meine Augen erheben sich nicht stolz;ich gehe nicht mit Dingen um,die vermessen sind und mir zu hoch (oder: schwer).
Psalmen 131:2	Nein, ich habe mein Herz beruhigt und gestillt;wie ein entwöhntes Kind an der Mutter Brust,so ruht entwöhnt mein Herz in mir. —
Psalmen 131:3	Israel, harre des HErrnvon nun an bis in Ewigkeit!
Psalmen 132:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120).Gedenke, HErr, dem David alle seine Mühsal,
Psalmen 132:2	ihm, der dem HErrn einst zuschworund gelobte Jakobs mächtigem Gott (vgl.2. Sam. 7;1. Chron. 17):
Psalmen 132:3	„Wahrlich, ich will mein Wohnzelt nicht betreten,„nicht mein Ruhelager besteigen;
Psalmen 132:4	„ich will meinen Augen den Schlaf nicht gönnen,„nicht Schlummer meinen Augenlidern,
Psalmen 132:5	„bis eine Stätte dem HErrn ich gefunden,„eine Wohnung für Jakobs mächtigen Gott!”
Psalmen 132:6	Ja, wir haben von ihr*) gehört in Ephrath,sie gefunden im Gefilde von Jaar:
Psalmen 132:7	„Laßt uns in seine Wohnung treten,uns niederwerfen vor dem Schemel seiner Füße!
Psalmen 132:8	„Brich auf, o HErr, zu deiner Ruhstatt,„du und die Lade (das Sinnbild) deiner Macht! (2. Chron. 6,41).
Psalmen 132:9	„Laß deine Priester sich kleiden in Gerechtigkeit (= treue Dienstleistung),„und deine Frommen mögen jubeln!
Psalmen 132:10	„Um deines Knechtes David willen„weise das Antlitz (= die Bitte) deines Gesalbten nicht ab!”
Psalmen 132:11	Geschworen hat der HErr dem David einen Eid,einen wahren Eid, von dem er nicht abgeht:„Von deinen leiblichen Sprossen„will einen ich setzen auf deinen Thron.
Psalmen 132:12	„Wenn deine Söhne meinen Bund beachten„und meine Zeugnisse (oder: Gebote), die ich sie lehren werde,„so sollen auch ihre Söhne für und für„sitzen auf deinem Thron.”
Psalmen 132:13	Denn der HErr hat Zion erwählt,hat es zu seiner Wohnung begehrt:
Psalmen 132:14	„Dies ist meine Ruhstatt für immer,„hier will ich wohnen, weil ich’s so begehrt.
Psalmen 132:15	„Zions Nahrung will ich reichlich segnen,„seine Armen sättigen mit Brot;
Psalmen 132:16	„seine Priester werde in Heil ich kleiden,„seine Frommen sollen laut frohlocken.
Psalmen 132:17	„Dort will ich Davids Macht erblühen lassen;**)„eine Leuchte***) hab’ ich meinem Gesalbten bereitet.
Psalmen 132:18	„Seine Feinde will ich kleiden in Schmach,„doch ihm soll auf dem Haupt die Krone glänzen.”
Psalmen 133:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120) Davids.Seht, wie schön und wie lieblich ist’s,wenn Brüder auch (friedlich) beisammen wohnen!
Psalmen 133:2	Das gleicht dem köstlichen Öl auf dem Haupt,das herabtroff in den Bart,in Aarons Bart, der niederwallteauf den Saum seiner Gewandung.
Psalmen 133:3	Es gleicht dem Hermontau, der niederfälltauf die Berge Zions;denn dorthin hat der HErr den Segen entboten,Leben bis in Ewigkeit.
Psalmen 134:1	Ein Wallfahrtslied (oder Stufenlied?; vgl. 120).Wohlan, preiset den HErrn, alle ihr Diener des HErrn,die ihr steht in den Nächten im Hause des HErrn!
Psalmen 134:2	Erhebt eure Hände zum Heiligtum hinund preiset den HErrn!
Psalmen 134:3	Dich segne der HErr von Zion her,der Schöpfer von Himmel und Erde!*)
Psalmen 135:1	Halleluja!Preiset den Namen des HErrn,preist ihn, ihr Diener des HErrn,
Psalmen 135:2	die ihr stehet im Hause des HErrn,in den Höfen am Haus unsers Gottes!
Psalmen 135:3	Preiset den HErrn, denn gütig ist der HErr;lobsingt seinem Namen, denn lieblich ist er!
Psalmen 135:4	Denn Jakob hat der HErr sich erwähltund Israel sich zum Eigentum erkoren.
Psalmen 135:5	Ja, ich weiß es: groß ist der HErr,und unser Gott steht über allen Göttern;
Psalmen 135:6	alles, was dem HErrn gefällt, das führt er ausim Himmel und auf Erden, in den Meeren und allen Tiefen.
Psalmen 135:7	Er ist’s, der Wolken heraufführt vom Ende der Erde,der Blitze bei Gewitterregen schafft,der den Wind aus seinen Speichern herausläßt.
Psalmen 135:8	Er war’s, der Ägyptens Erstgeburten schlugunter Menschen wie beim Vieh;
Psalmen 135:9	der Zeichen und Wunder sandte in deine Mitte, Ägypten,gegen den Pharao und all seine Knechte.
Psalmen 135:10	Er war’s, der viele (oder: große) Völker schlugund mächtige Könige tötete:
Psalmen 135:11	Sihon, den König der Amoriter,und Og, den König von Basan,und alle Königreiche Kanaans,
Psalmen 135:12	und ihr Land als Erbbesitz hingab,als Erbe seinem Volke Israel.
Psalmen 135:13	O HErr, dein Name währt ewig,dein Gedächtnis (oder: Ruhm), o HErr, von Geschlecht zu Geschlecht
Psalmen 135:14	denn der HErr schafft Recht seinem Volkund erbarmt sich über seine Knechte.
Psalmen 135:15	Die Götzen der Heiden sind Silber und Gold,das Machwerk von Menschenhänden;
Psalmen 135:16	sie haben einen Mund und können nicht reden,haben Augen und sehen nicht;
Psalmen 135:17	sie haben Ohren und können nicht hören,auch ist kein Odem in ihrem Munde.
Psalmen 135:18	Ihnen gleich sind ihre Verfertiger,jeder, der auf sie vertraut. (Vgl. 115,4—8).
Psalmen 135:19	Ihr vom Hause Israel, preiset den HErrn!ihr vom Hause Aaron, preiset den HErrn!
Psalmen 135:20	Ihr vom Hause Levi, preiset den HErrn!ihr, die ihr fürchtet den HErrn, preiset den HErrn!
Psalmen 135:21	Gepriesen sei der HErr von Zion aus,er, der da wohnt in Jerusalem!Halleluja!
Psalmen 136:1	Danket dem HErrn, denn er ist freundlich,ja, ewiglich währt seine Gnade!
Psalmen 136:2	Danket dem Gott der Götter!ja, ewiglich währt seine Gnade!
Psalmen 136:3	Danket dem Herrn der Herren!ja, ewiglich währt seine Gnade!
Psalmen 136:4	ihm, der große Wunder tut, er allein: —ja, ewiglich währt seine Gnade!
Psalmen 136:5	der den Himmel mit Weisheit geschaffen: —ja, ewiglich währt seine Gnade!
Psalmen 136:6	der die Erde über den Wassern ausgebreitet: —ja, ewiglich währt seine Gnade!
Psalmen 136:7	der die großen Lichter (oder: Leuchten) geschaffen: —ja, ewiglich währt seine Gnade!
Psalmen 136:8	die Sonne zur Herrschaft am Tage: —ja, ewiglich währt seine Gnade!
Psalmen 136:9	den Mond und die Sterne zur Herrschaft bei Nacht: —ja, ewiglich währt seine Gnade!
Psalmen 136:10	ihm, der Ägypten schlug an seinen Erstgeburten: —ja, ewiglich währt seine Gnade!
Psalmen 136:11	und Israel aus ihrer Mitte führte: —ja, ewiglich währt seine Gnade!
Psalmen 136:12	mit starker Hand und hocherhobnem Arm: —ja, ewiglich währt seine Gnade!
Psalmen 136:13	der das Schilfmeer in zwei Teile zerschnitt: —ja, ewiglich währt seine Gnade!
Psalmen 136:14	und Israel mitten hindurchziehen ließ: —ja, ewiglich währt seine Gnade!
Psalmen 136:15	und den Pharao und sein Heer ins Schilfmeer stürzte: —ja, ewiglich währt seine Gnade!
Psalmen 136:16	ihm, der sein Volk durch die Wüste führte: —ja, ewiglich währt seine Gnade!
Psalmen 136:17	der große Könige schlug: —ja, ewiglich währt seine Gnade!
Psalmen 136:18	und mächtige Könige tötete: —ja, ewiglich währt seine Gnade!
Psalmen 136:19	Sihon, den König der Amoriter: —ja, ewiglich währt seine Gnade!
Psalmen 136:20	und Og, den König von Basan: —ja, ewiglich währt seine Gnade!
Psalmen 136:21	und ihr Land als Erbbesitz hingab: —ja, ewiglich währt seine Gnade!
Psalmen 136:22	als Erbbesitz seinem Knechte Israel: —ja, ewiglich währt seine Gnade!
Psalmen 136:23	ihm, der in unsrer Erniedrigung unser gedachte: —ja, ewiglich währt seine Gnade!
Psalmen 136:24	und uns von unsern Drängern befreite: —ja, ewiglich währt seine Gnade!
Psalmen 136:25	der Nahrung allen Geschöpfen gibt: —ja, ewiglich währt seine Gnade!
Psalmen 136:26	Danket dem Gott des Himmels: —ja, ewiglich währt seine Gnade! —
Psalmen 137:1	An Babels Strömen, da saßen wir und weinten,wenn Zions wir gedachten;
Psalmen 137:2	an die Weiden, die dort stehen,hängten wir unsre Harfen;
Psalmen 137:3	denn Lieder verlangten von uns dort unsre Zwingherrn,und unsre Peiniger hießen uns fröhlich sein:„Singt uns eins von euren Zionsliedern!”
Psalmen 137:4	Wie sollten wir singen die Lieder des HErrnauf fremdem Boden?
Psalmen 137:5	Vergesse ich dich, Jerusalem,so verdorre mir die rechte Hand!*)
Psalmen 137:6	Die Zunge bleibe mir am Gaumen kleben,wenn ich deiner nicht eingedenk bleibe,wenn ich Jerusalem nicht stelleüber alles, was mir Freude macht!**)
Psalmen 137:7	Gedenke, HErr, den Söhnen Edomsden Unglückstag Jerusalems,wie sie riefen: „Reißt nieder, reißt nieder„bis auf den Grund in ihm!”
Psalmen 137:8	Bewohnerschaft Babels, Verwüsterin!Heil dem, der dir vergiltdasselbe, was du an uns verübt!
Psalmen 137:9	Heil dem, der deine Kindlein packtund am Felsen sie zerschmettert!
Psalmen 138:1	Von David.Danken will ich dir, (HErr), von ganzem Herzen,vor den Göttern***) will ich dir lobsingen;
Psalmen 138:2	vor deinem heiligen Tempel will ich anbetenund deinen Namen preisen ob deiner Gnade und Treue;denn über deinen ganzen Namen hinaushast dein Wort (= deine Verheißung) du groß gemacht.
Psalmen 138:3	Als ich rief zu dir, da hast du mich erhört,hast mir Mut verliehn: in mein Herz kam Kraft.
Psalmen 138:4	Danken werden dir, HErr, alle Könige der Erde,wenn sie hören die Worte deines Mundes,
Psalmen 138:5	und werden singen vom Walten des HErrn,denn groß ist die Herrlichkeit des HErrn.
Psalmen 138:6	Denn der HErr ist erhaben und sieht doch den Niedrigen,den Stolzen aber erkennt er schon von ferne.
Psalmen 138:7	Wenn ich auch mitten in Drangsal wandle,erhältst du mir dennoch das Leben;du streckst deine Hand aus gegen die Wut meiner Feinde,und deine Rechte hilft mir.
Psalmen 138:8	Der HErr wird’s mir zum Heil vollführen;o HErr, deine Gnade walte für immer:laß die Werke deiner Hände nicht fahren (= nicht im Stich)!
Psalmen 139:1	Dem Musikmeister, von David ein Psalm.HErr, du erforschest mich und kennst mich;
Psalmen 139:2	du weißt es, ob ich sitze oder aufstehe,du verstehst, was ich denke, von ferne;
Psalmen 139:3	ob ich wandre oder ruhe, du prüfst esund bist mit all meinen Wegen vertraut;
Psalmen 139:4	denn ehe ein Wort auf meiner Zunge liegt,kennst du, o HErr, es schon genau.
Psalmen 139:5	Du hältst mich von hinten und von vorne umschlossenund hast deine Hand auf mich gelegt.
Psalmen 139:6	Zu wunderbar ist solches Wissen für mich,zu hoch: ich vermag’s nicht zu begreifen!
Psalmen 139:7	Wohin soll ich gehn vor deinem Geistund wohin fliehn vor deinem Angesicht?
Psalmen 139:8	Führe ich auf zum Himmel, so wärst du da,und lagert’ ich mich in der Unterwelt, so wärst du dort;
Psalmen 139:9	nähme ich Schwingen des Morgenrots zum Flugund ließe mich nieder am äußersten Westmeer,
Psalmen 139:10	so würde auch dort deine Hand mich führenund deine Rechte mich fassen;
Psalmen 139:11	und spräch’ ich: „Lauter Finsternis soll mich umhüllen„und Nacht sei das Licht um mich her!” —
Psalmen 139:12	auch die Finsternis würde für dich nicht finster sein,vielmehr die Nacht dir leuchten wie der Tag:Finsternis wäre für dich wie das Licht.
Psalmen 139:13	Denn du bist’s, der meine Nieren (d. h. mein Innerstes) gebildet,mich gewoben im Schoß meiner Mutter.
Psalmen 139:14	Ich danke dir, daß ich so überaus wunderbar bereitet bin:wunderbar sind deine Werke,und meine Seele erkennt das wohl.
Psalmen 139:15	Meine Wesensgestaltung war dir nicht verborgen,als im Dunkeln ich gebildet ward,kunstvoll gewirkt in den Tiefen*) der Erde.
Psalmen 139:16	Deine Augen sahen mich schon als formlosen Keim,und in deinem Buch standen eingeschriebenalle Tage, die vorbedacht waren,als noch keiner von ihnen da war.
Psalmen 139:17	Für mich nun — wie kostbar sind deine Gedanken, o Gott,wie gewaltig sind ihre Summen!
Psalmen 139:18	Wollt’ ich sie zählen: ihrer sind mehr als des Sandes;wenn ich erwache, bin ich noch immer bei dir.
Psalmen 139:19	Möchtest du doch die Frevler töten, o Gott!und ihr Männer (= Freunde) der Blutschuld, weichet von mir!
Psalmen 139:20	sie, die von dir mit Arglist (oder: Hintergedanken) reden,mit Falschheit reden als deine Widersacher.
Psalmen 139:21	Sollt’ ich nicht hassen, die dich, HErr, hassen,nicht verabscheun, die sich erheben gegen dich?
