Mosè 1:1	Parole di Dio, che egli disse a Mosè al tempo in cui Mosè fu rapito su una montagna altissima,
Abrahamo 4:12	E gli Dei organizzarono la terra per produrre erba, e per dare dal suo seme, e le piante per produrre piante dal loro seme; e la terra per produrre gli alberi dal loro proprio seme, per dare frutto, il cui seme potesse produrre l’uguale in se stesso secondo la sua specie; e gli Dei videro che erano obbediti.
Abrahamo 4:13	E avvenne che essi contarono i giorni; dalla sera fino al mattino essi chiamarono notte; e avvenne che dal mattino fino alla sera essi chiamarono giorno; e fu il terzo periodo.
Abrahamo 4:14	E gli Dei organizzarono i luminari nella distesa del cielo, e fecero sì che separassero il giorno dalla notte; e li organizzarono affinché fossero per segni e per stagioni, e per giorni e per anni;
Abrahamo 4:15	E li organizzarono per essere come luminari nella distesa del cielo, per dare luce sopra la terra; e così fu.
Abrahamo 4:16	E gli Dei organizzarono i due grandi luminari: il luminare maggiore per governare il giorno e il luminare minore per governare la notte; con il luminare minore essi posero anche le stelle;
Abrahamo 4:17	E gli Dei li posero nella distesa dei cieli, per dare luce sopra la terra, e per governare il giorno e la notte, e per fare sì che fosse separata la luce dalle tenebre.
Abrahamo 4:18	E gli Dei vegliarono sulle cose che avevano ordinato, finché esse obbedirono.
Abrahamo 4:19	E avvenne che fu dalla sera fino al mattino che fu notte; e avvenne che fu dal mattino fino alla sera che fu giorno; e fu il quarto periodo.
Abrahamo 4:20	E gli Dei dissero: Prepariamo le acque per produrre in abbondanza le creature che si muovono e che hanno vita; e gli uccelli, affinché volino sopra la terra nell’ampia distesa del cielo.
Abrahamo 4:21	E gli Dei prepararono le acque perché potessero produrre le grandi balene e ogni creatura vivente che si muove, che le acque dovevano produrre in abbondanza secondo la loro specie; ed ogni uccello alato secondo la sua specie. E gli Dei videro che sarebbero stati obbediti e che il loro piano era buono.
Abrahamo 4:22	E gli Dei dissero: Le benediremo e faremo sì che siano feconde e si moltiplichino e riempiano le acque dei mari, ossia le grandi acque; e faremo sì che si moltiplichino gli uccelli sulla terra.
Abrahamo 4:23	E avvenne che fu dalla sera fino al mattino che chiamarono notte; e avvenne che fu dal mattino fino alla sera che chiamarono giorno; e fu il quinto periodo.
Abrahamo 4:24	E gli Dei prepararono la terra per produrre le creature viventi, secondo la loro specie: il bestiame e gli esseri striscianti, e le bestie della terra secondo la loro specie; e fu così, come avevano detto.
Abrahamo 4:25	E gli Dei organizzarono la terra per produrre le bestie secondo la loro specie, e il bestiame secondo la sua specie, e ogni essere che striscia sulla terra secondo la sua specie; e gli Dei videro che essi avrebbero obbedito.
Abrahamo 4:26	E gli Dei si consigliarono fra loro e dissero: Scendiamo e formiamo l’uomo a nostra immagine, secondo la nostra somiglianza; e daremo loro dominio sui pesci del mare, e sugli uccelli dell’aria, e sul bestiame, e su tutta la terra, e su ogni essere che striscia sulla terra.
Abrahamo 4:27	Così gli Dei scesero per organizzare l’uomo a loro immagine, per formarlo a immagine degli Dei, per formarli maschio e femmina.
Abrahamo 4:28	E gli Dei dissero: Li benediremo. E gli Dei dissero: Faremo sì che siano fecondi e si moltiplichino, e riempiano la terra, e l’assoggettino, e che abbiano dominio sui pesci del mare, sugli uccelli dell’aria e su ogni essere vivente che si muove sulla terra.
Abrahamo 4:29	E gli Dei dissero: Ecco, daremo loro ogni pianta che porta seme che crescerà sulla faccia di tutta la terra, ed ogni albero che su di essa avrà frutto; sì, i frutti degli alberi che danno seme, li daremo a loro; ciò saranno per loro nutrimento.
Abrahamo 4:30	E ad ogni bestia della terra, e ad ogni uccello dell’aria e ad ogni essere che striscia sulla terra, ecco, noi daremo vita, e daremo anche a loro ogni pianta verde per nutrimento, e tutte queste cose saranno organizzate in questo modo.
Abrahamo 4:31	E gli Dei dissero: Faremo tutte le cose che abbiamo detto e le organizzeremo; ed ecco, esse saranno molto obbedienti. E avvenne che fu dalla sera fino al mattino che chiamarono notte; e avvenne che fu dal mattino alla sera essi chiamarono giorno; e contarono il sesto periodo.
Joseph Smith – Matteo 1:1	Poiché vi dico, che d’ora in avanti non mi vedrete, e non saprete che io sono colui del quale è stato scritto dai profeti, finché non direte: Benedetto colui che viene nel nome del Signore, nelle nubi del cielo, e tutti i santi angeli con lui. Allora i suoi discepoli capirono che egli sarebbe di nuovo venuto sulla terra, dopo essere stato glorificato e coronato alla destra di Dio.
Joseph Smith – Matteo 1:2	E Gesù uscì e se ne andò dal tempio; e i suoi discepoli vennero a lui per ascoltarlo, e dissero: Maestro, spiegaci a riguardo degli edifici del tempio, poiché hai detto: Saranno abbattuti e vi saranno lasciati desolati.
Joseph Smith – Matteo 1:3	E Gesù disse loro: Non vedete tutte queste cose? E non le comprendete? In verità, vi dico, non sarà lasciata qui, in questo tempio, pietra su pietra che non sarà abbattuta.
Joseph Smith – Matteo 1:4	E Gesù li lasciò e salì sul Monte degli Ulivi. E mentre sedeva sul Monte degli Ulivi, i discepoli vennero a lui in disparte, e dissero: Dicci quando avverranno queste cose che hai detto riguardo alla distruzione del tempio, e dei Giudei; e qual è il segno della tua venuta, e della fine del mondo, ossia della distruzione dei malvagi, che è la fine del mondo?
Joseph Smith – Matteo 1:5	E Gesù rispose, e disse loro: Guardate che nessuno vi seduca;
Joseph Smith – Matteo 1:6	Poiché molti verranno nel mio nome, dicendo: Io sono il Cristo, e ne sedurranno molti.
Joseph Smith – Matteo 1:7	Allora vi getteranno in tribolazione, e vi uccideranno, e sarete odiati da tutte le genti a ragion del mio nome;
Joseph Smith – Matteo 1:8	E allora molti si scandalizzeranno, e si tradiranno l’un l’altro, e si odieranno a vicenda;
Joseph Smith – Matteo 1:9	E molti falsi profeti sorgeranno, e sedurranno molti;
Joseph Smith – Matteo 1:10	E poiché l’iniquità si moltiplicherà, l’amore di molti si raffredderà;
Joseph Smith – Matteo 1:11	Ma colui che rimane costante e non è vinto, sarà salvato.
Joseph Smith – Matteo 1:12	Quando voi, dunque, vedrete l’abominazione della desolazione, della quale parlò Daniele, il profeta, riguardo alla distruzione di Gerusalemme, allora state nel luogo santo; chi legge comprenda.
Joseph Smith – Matteo 1:13	Allora, coloro che saranno in Giudea fuggano ai monti;
Joseph Smith – Matteo 1:14	Colui che sarà sulla terrazza fugga, e non torni per prendere qualcosa da casa sua;
Joseph Smith – Matteo 1:15	E chi sarà nei campi non torni indietro a prendere la sua veste.
Joseph Smith – Matteo 1:16	E guai a quelle che saranno gravide, e a quelle che allatteranno in quei giorni;
Joseph Smith – Matteo 1:17	Pregate dunque il Signore affinché la vostra fuga non avvenga d’inverno, né di sabato;
Joseph Smith – Matteo 1:18	Poiché allora, in quei giorni, vi sarà grande tribolazione sugli Ebrei e sugli abitanti di Gerusalemme, tale che in precedenza non fu mai mandata da Dio su Israele, dall’inizio del loro regno fino a questo momento; no, né mai sarà mandata di nuovo su Israele.
Joseph Smith – Matteo 1:19	Tutte le cose che sono loro accadute non sono che il principio dei dolori che verranno su di loro.
Joseph Smith – Matteo 1:20	E se quei giorni non fossero abbreviati, nessuna carne sarebbe salvata; ma per amore degli eletti, secondo l’alleanza, quei giorni saranno abbreviati.
Joseph Smith – Matteo 1:21	Ecco, queste cose vi ho detto riguardo ai Giudei; e ancora, dopo la tribolazione di quei giorni che verrà su Gerusalemme, se qualcuno vi dirà: Ecco, il Cristo è qui, oppure, è là, non credetegli;
Joseph Smith – Matteo 1:22	Poiché in quei giorni sorgeranno anche falsi Cristi e falsi profeti, e mostreranno grandi segni e prodigi, tanto da ingannare, se fosse possibile, perfino gli eletti, che sono eletti secondo l’alleanza.
Joseph Smith – Matteo 1:23	Ecco, vi dico queste cose per amore degli eletti; e voi udrete anche di guerre e di rumori di guerre; guardate di non essere turbati, poiché tutto ciò che vi ho detto deve avvenire; ma non sarà ancora la fine.
Joseph Smith – Matteo 1:24	Ecco, io ve l’ho predetto;
Joseph Smith – Matteo 1:25	Pertanto, se vi diranno: Ecco, egli è nel deserto, non andate; Ecco, è nelle camere appartate, non lo credete.
Joseph Smith – Matteo 1:26	Poiché, come la luce del mattino, esce da levante e risplende fino a ponente, e copre tutta la terra, così sarà anche la venuta del Figlio dell’Uomo.
Joseph Smith – Matteo 1:27	Ed ora vi spiego una parabola. Ecco, dovunque sarà il carname, là si raduneranno le aquile; così, allo stesso modo, i miei eletti saranno radunati dai quattro canti della terra.
Joseph Smith – Matteo 1:28	Ed essi udranno di guerre e di rumori di guerre.
Joseph Smith – Matteo 1:29	Ecco, io parlo per amore dei miei eletti; poiché si leverà nazione contro nazione, e regno contro regno; vi saranno carestie e pestilenze e terremoti in vari luoghi.
Joseph Smith – Matteo 1:30	E di nuovo, perché l’iniquità sarà moltiplicata, l’amore degli uomini si raffredderà; ma colui che non sarà vinto sarà salvato.
Joseph Smith – Matteo 1:31	E di nuovo, questo Vangelo del Regno sarà predicato in tutto il mondo, come testimonianza a tutte le nazioni; e allora verrà la fine, ossia la distruzione dei malvagi;
Joseph Smith – Matteo 1:32	E di nuovo, l’abominazione della desolazione della quale parlò Daniele, il profeta, si adempirà.
Joseph Smith – Matteo 1:33	E immediatamente dopo la tribolazione di quei giorni, il sole sarà oscurato, e la luna non darà la sua luce, e le stelle cadranno dal cielo, e le potenze del cielo saranno scrollate.
Joseph Smith – Matteo 1:34	In verità, vi dico, questa generazione, nella quale queste cose saranno mostrate, non passerà, finché tutto ciò che vi ho detto non sia adempiuto.
Joseph Smith – Matteo 1:35	Sebbene verranno i giorni in cui il cielo e la terra passeranno, tuttavia le mie parole non passeranno, ma si adempiranno tutte.
Joseph Smith – Matteo 1:36	E come ho detto prima, dopo la tribolazione di quei giorni, e che le potenze dei cieli saranno scrollate, allora apparirà nel cielo il segno del Figlio dell’Uomo, e allora tutte le stirpi della terra faranno cordoglio; e vedranno il Figlio dell’Uomo venire nelle nubi del cielo, con gran potenza e gloria.
Joseph Smith – Matteo 1:37	E chiunque farà tesoro della mia parola non sarà ingannato, poiché il Figlio dell’Uomo verrà, e manderà i suoi angeli dinanzi a lui con un gran suono di tromba, ed essi raduneranno il resto dei suoi eletti dai quattro venti, da un’estremità all’altra.
Joseph Smith – Matteo 1:38	Ora imparate dal fico una parabola: Quando i suoi rami sono già teneri, ed esso comincia a mettere le foglie, voi sapete che l’estate è vicina;
Joseph Smith – Matteo 1:39	Così, allo stesso modo, i miei eletti, quando vedranno tutte queste cose, sapranno che egli è vicino, sì, alla porta.
Joseph Smith – Matteo 1:40	Ma in quanto al giorno e all’ora, nessuno li sa; no, neppure gli angeli di Dio nel cielo, ma mio Padre soltanto.
Joseph Smith – Matteo 1:41	Ma come fu ai giorni di Noè, così sarà alla venuta del Figlio dell’Uomo;
Joseph Smith – Matteo 1:42	Poiché avverrà per loro come avvenne nei giorni che erano prima del diluvio; poiché fino al giorno in cui Noè entrò nell’arca, essi mangiavano e bevevano, si sposavano e davano in matrimonio;
Joseph Smith – Matteo 1:43	E non seppero nulla finché non venne il diluvio e li portò tutti via; così sarà anche la venuta del Figlio dell’Uomo.
Joseph Smith – Matteo 1:44	Allora si adempirà ciò che è scritto: che negli ultimi giorni, due saranno nel campo, l’uno sarà preso e l’altro lasciato;
Joseph Smith – Matteo 1:45	Due staranno macinando al mulino, l’uno sarà preso e l’altro lasciato.
Joseph Smith – Matteo 1:46	E ciò che dico a uno lo dico a tutti; vegliate, dunque, poiché non sapete a quale ora il vostro Signore verrà.
Joseph Smith – Matteo 1:47	Ma sappiate questo: se il padrone di casa avessi saputo a quale vigilia della notte sarebbe venuto il ladro, avrebbe vegliato, e non avrebbe lasciato forzare la sua casa, ma si sarebbe tenuto pronto.
Joseph Smith – Matteo 1:48	Perciò, anche voi state pronti, poiché nell’ora che non pensate il Figlio dell’Uomo verrà.
Joseph Smith – Matteo 1:49	Qual è mai il servitore fedele e prudente, che il padrone abbia costituito sui domestici, per dar loro il cibo al suo tempo?
Joseph Smith – Matteo 1:50	Benedetto quel servitore che il suo signore, arrivando, troverà così occupato; vi dico, in verità, che lo costituirà su tutti i suoi beni.
Joseph Smith – Matteo 1:51	Ma, se è un malvagio servitore che dice in cuor suo: Il mio signore tarda a venire;
Joseph Smith – Matteo 1:52	E comincia a battere i suoi conservi e a mangiare e a bere con gli ubriaconi,
Joseph Smith – Matteo 1:53	Il padrone di quel servitore verrà nel giorno che non se l’aspetta, e nell’ora che non sa,
Joseph Smith – Matteo 1:54	E lo taglierà a pezzi e gli assegnerà la sua sorte con gli ipocriti; là vi sarà pianto e stridor di denti.
Joseph Smith – Matteo 1:55	E così verrà la fine dei malvagi, secondo la profezia di Mosè, che dice: Saranno recisi di fra il popolo; ma non è ancora la fine della terra, ma verrà presto.
Joseph Smith – Storia 1:1	A causa delle molte voci che sono state messe in circolazione da persone male intenzionate e intriganti, in relazione alla nascita e alla crescita de La Chiesa di Gesù Cristo dei Santi degli Ultimi Giorni, che sono state tutte architettate dai loro autori per minare la sua reputazione come Chiesa e la sua crescita nel mondo, sono stato indotto a scrivere questa storia per disingannare l’opinione pubblica, e per porre tutti quelli che cercano la verità in possesso dei fatti, così come sono avvenuti, in relazione sia a me stesso che alla Chiesa, nella misura in cui tali fatti sono in mio possesso.
Joseph Smith – Storia 1:2	In questa storia presenterò in verità e giustizia i vari eventi relativi a questa chiesa, come sono accaduti o come esistono adesso, essendo ora [1838] l’ottavo anno dall’organizzazione di detta chiesa.
Joseph Smith – Storia 1:3	Io nacqui nell’anno di nostro Signore milleottocentocinque, il ventitré dicembre, nella città di Sharon, Contea di Windsor, Stato del Vermont. […] Mio padre, Joseph Smith sr, lasciò lo Stato del Vermont e si trasferì a Palmyra, Contea di Ontario (oggi Wayne), nello Stato di New York, quando ero nel mio decimo anno, o pressappoco. Circa quattro anni dopo l’arrivo a Palmyra, mio padre si trasferì con la sua famiglia a Manchester, nella stessa Contea di Ontario.
Joseph Smith – Storia 1:4	La sua famiglia consisteva di undici anime, cioè mio padre Joseph Smith, mia madre Lucy Smith (il cui nome, prima del matrimonio era Mack, figlia di Salomon Mack), mio fratello Alvin (che morì il 19 novembre 1823, nel suo 26º anno d’età), Hyrum, io stesso, Samuel Harrison, William, Don Carlos e le mie sorelle Sophronia, Catherine e Lucy.
Joseph Smith – Storia 1:5	Nel corso del secondo anno dopo il nostro trasferimento a Manchester, nel luogo dove vivevamo vi fu un insolito fermento a proposito della religione. Cominciò con i metodisti, ma divenne presto generale fra tutte le sette in quella regione del paese. Invero, l’intero distretto del paese ne sembrò affetto, e grandi moltitudini si unirono ai diversi gruppi religiosi, che crearono non poco subbuglio e non poca divisione fra il popolo, alcuni gridando: “Ecco qui!” e altri: “Ecco là!”. Alcuni lottavano per la fede metodista, altri per quella presbiteriana, ed altri per quella battista.
Joseph Smith – Storia 1:6	Poiché, nonostante il grande amore che i convertiti a queste differenti fedi esprimevano al momento della loro conversione, e il grande zelo manifestato dal rispettivo clero, che era attivo nel suscitare e nel promuovere questa scena straordinaria di sentimento religioso, e che al fine di fare di ognuno un convertito, come si compiacevano di chiamarli, lasciavano che si unissero alla setta che preferivano, tuttavia, quando i convertiti cominciarono ad andarsene, alcuni ad un partito ed altri ad un altro, si vedeva che gli apparentemente buoni sentimenti, sia dei ministri che dei convertiti, erano più pretesi che reali; poiché ne seguì una scena di grande confusione e di cattivi sentimenti; ministro disputava contro ministro, e convertito contro convertito, cosicché tutti i loro buoni sentimenti l’uno per l’altro, se mai ne avevano avuto alcuno, si persero interamente in un conflitto di parole e in una controversia sulle opinioni.
Joseph Smith – Storia 1:7	Io ero a quel tempo nel mio quindicesimo anno. La famiglia di mio padre si convertì alla fede presbiteriana, e quattro di essi si unirono a quella chiesa, cioè mia madre Lucy, i miei fratelli Hyrum e Samuel Harrison e mia sorella Sophronia.
Joseph Smith – Storia 1:8	Durante questo periodo di grande fermento, la mia mente fu stimolata a serie riflessioni e ad una grande inquietudine; ma, sebbene i miei sentimenti fossero profondi, e spesso pungenti, mi tenni tuttavia in disparte da tutti questi gruppi, sebbene partecipassi alle loro numerose riunioni ogni volta che l’occasione lo permetteva; coll’andar del tempo, la mia mente si fece alquanto favorevole verso la setta metodista, e sentii un certo desiderio di unirmi a loro; ma così grandi erano la confusione e i conflitti fra le diverse confessioni, che era impossibile per una persona giovane come ero io, e così inesperta di uomini e di cose, giungere ad una qualche sicura conclusione su chi avesse ragione e chi avesse torto.
Joseph Smith – Storia 1:9	La mia mente era a volte agitatissima, talmente le grida e il tumulto erano grandi e incessanti. I presbiteriani erano i più decisi contro i battisti e i metodisti, e usavano tutti i poteri, sia della ragione che del sofisma, per dimostrare i loro errori, o almeno per far credere al popolo che essi erano nell’errore. D’altro canto, i battisti e i metodisti a loro volta erano egualmente zelanti nello sforzarsi di confermare i propri principi e di confutare tutti gli altri.
Joseph Smith – Storia 1:10	In mezzo a questa guerra di parole e a questo tumulto di opinioni, io mi dicevo spesso: Cosa devo fare? Quale di tutti questi gruppi ha ragione? O hanno tutti torto? E se uno di loro ha ragione, qual è, e come posso saperlo?
Joseph Smith – Storia 1:11	Mentre ero travagliato dalle estreme difficoltà causate dalle controversie di questi gruppi religiosi, stavo un giorno leggendo l’Epistola di Giacomo, primo capitolo, quinto versetto, che dice: Che se qualcuno di voi manca di sapienza, la chiegga a Dio che dona a tutti liberalmente senza rinfacciare, e gli sarà donata.
Joseph Smith – Storia 1:12	Giammai alcun passo delle scritture venne con più potenza nel cuore di un uomo di quanto questo fece allora nel mio. Sembrava entrare con grande forza in ogni sentimento del mio cuore. Vi riflettevo continuamente, sapendo che se qualcuno aveva bisogno di sapienza da Dio, ero io; poiché non sapevo come agire, e a meno che avessi potuto ottenere maggior sapienza di quanta ne avessi allora, non lo avrei mai saputo; poiché gli insegnanti di religione delle diverse sette comprendevano gli stessi passi delle scritture in modo così differente da distruggere ogni fiducia di appianare la questione mediante un appello alla Bibbia.
Joseph Smith – Storia 1:13	Alla fine giunsi alla conclusione che dovevo o rimanere nelle tenebre e nella confusione o altrimenti dovevo fare come indica Giacomo, cioè chiedere a Dio. Alla fine giunsi alla determinazione di “chiedere a Dio”, concludendo che se Egli dava la sapienza a coloro che mancavano di sapienza, e avrebbe dato liberalmente e senza rinfacciare, potevo tentare.
Joseph Smith – Storia 1:14	Così, in accordo con questa mia determinazione di chiedere a Dio, mi ritirai nei boschi per fare il tentativo. Era il mattino di una bella giornata serena all’inizio della primavera del 1820. Era la prima volta in vita mia che facevo un simile tentativo, poiché, in mezzo a tutte le mie ansietà, non avevo mai provato fino ad allora a pregare ad alta voce.
Joseph Smith – Storia 1:15	Dopo che mi fui ritirato nel luogo dove avevo precedentemente deciso di andare, essendomi guardato attorno e trovandomi solo, mi inginocchiai e cominciai ad offrire i desideri del mio cuore a Dio. Lo avevo appena fatto, quando fui immediatamente afferrato da un qualche potere che mi sopraffece completamente, ed ebbe su di me un effetto così sorprendente da legare la mia lingua, cosicché non potevo più parlare. Fitte tenebre si addensarono attorno a me, e mi sembrò per un momento che fossi condannato ad una improvvisa distruzione.
Joseph Smith – Storia 1:16	Ma, esercitando ogni mio potere per invocare Dio di liberarmi dal potere di quel nemico che mi aveva afferrato, e nel momento stesso in cui ero pronto a sprofondare nella disperazione e ad abbandonarmi alla distruzione — non ad una rovina immaginaria, ma al potere di qualche essere reale del mondo invisibile, che aveva un potere così prodigioso come mai prima lo avevo sentito in nessun essere — proprio in quel momento di grande allarme, vidi esattamente sopra la mia testa una colonna di luce più brillante del sole, che discese gradualmente fino a che cadde su di me.
Joseph Smith – Storia 1:17	Era appena apparsa, che mi trovai liberato dal nemico che mi teneva legato. Quando la luce stette su di me, io vidi due Personaggi il cui splendore e la cui gloria sfidano ogni descrizione, ritti sopra di me nell’aria. Uno di essi mi parlò, chiamandomi per nome, e disse indicando l’altro: Questo è il mio Figlio diletto. Ascoltalo!
Joseph Smith – Storia 1:18	Il mio scopo, nell’andare a chiedere al Signore, era di sapere quale di tutte le sette fosse quella giusta, per poter sapere a quale unirmi. Perciò, non appena ebbi preso possesso di me stesso così da essere in grado di parlare, chiesi ai Personaggi che stavano sopra di me nella luce quale di tutte le sette fosse quella giusta (poiché a quel tempo non mi era ancora entrato in cuore che fossero tutte in errore) e a quale dovessi unirmi.
Joseph Smith – Storia 1:19	Mi fu risposto che non dovevo unirmi a nessuna di esse, poiché erano tutte nell’errore; e il Personaggio che si rivolse a me disse che tutti i loro credi erano un’abominazione al suo cospetto, che quelli che così professavano erano tutti corrotti, che “si avvicinano a me con le labbra ma il loro cuore è distante da me; essi insegnano come dottrina i comandamenti degli uomini e hanno una forma di religiosità, ma ne rinnegano la potenza”.
Joseph Smith – Storia 1:20	Mi proibì nuovamente di unirmi ad alcuna di esse, e molte altre cose mi disse che non posso scrivere in questo momento. Quando tornai in me stesso mi trovai steso sulla schiena, a guardare il cielo. Quando la luce se ne fu andata, non avevo più forze; ma riavutomi presto in una certa misura, andai a casa. E mentre mi appoggiavo al camino, mia madre mi chiese che cosa avessi. Risposi: “Non preoccuparti; va tutto bene; sto abbastanza bene”. Dissi poi a mia madre: “Ho appreso da me stesso che il presbiterianesimo non è giusto”. Sembra che l’avversario fosse consapevole fin dai primi anni della mia vita che ero destinato a dimostrarmi di turbamento e di molestia per il suo regno; altrimenti, perché i poteri delle tenebre si sarebbero uniti contro di me? Perché quell’opposizione e quella persecuzione che sorsero contro di me quasi nella mia infanzia?
Joseph Smith – Storia 1:21	Alcuni giorni dopo aver avuto questa visione, mi accadde di essere in compagnia di uno dei predicatori metodisti, che era molto attivo nel precitato fermento religioso; e conversando con lui sull’argomento della religione, colsi l’occasione per fargli un racconto della visione che avevo avuto. Fui grandemente sorpreso del suo comportamento; egli trattò le mie affermazioni non solo con leggerezza, ma con grande disprezzo, dicendo che veniva tutto dal diavolo, che ai nostri giorni non c’erano più cose come visioni o rivelazioni, che tutte queste cose erano cessate con gli apostoli, e che non ve ne sarebbero mai più state.
Joseph Smith – Storia 1:22	Mi accorsi ben presto, comunque, che nel narrare la mia storia avevo destato una gran quantità di pregiudizi contro di me fra coloro che si professavano religiosi, e ciò fu causa di grande persecuzione, che continuò ad aumentare; e sebbene fossi un oscuro ragazzo di appena quattordici o quindici anni, e le mie condizioni di vita fossero tali da rendermi un ragazzo senza importanza nel mondo, tuttavia uomini di elevata posizione mi prestavano attenzione abbastanza da incitare contro di me l’opinione pubblica e da creare un’aspra persecuzione; e ciò era comune a tutte le sette: tutte unite nel perseguitarmi.
Joseph Smith – Storia 1:23	Ciò mi indusse allora a serie riflessioni, e da allora l’ho fatto spesso: quanto fosse strano che un oscuro ragazzo di poco più di quattordici anni, e uno — per di più — che era condannato alla necessità di procurarsi uno scarso mantenimento con il suo lavoro quotidiano, fosse ritenuto un personaggio di importanza sufficiente da attirare l’attenzione dei grandi delle sette più popolari del momento, e in maniera tale da creare in loro uno spirito della più aspra persecuzione e ingiuria. Ma, strano o no, così era, e fu spesso per me causa di grande dolore.
Joseph Smith – Storia 1:24	Comunque, era nondimeno un fatto che avessi avuto una visione. Ho pensato da allora che mi sentivo proprio come Paolo, quando si difese dinanzi al re Agrippa e gli riferì il racconto della visione che aveva avuto, quando vide una luce e udì una voce; eppure non ve ne furono che pochi che gli credettero; alcuni dissero che era disonesto, altri dissero che era pazzo, e fu messo in ridicolo ed insultato. Ma tutto ciò non distrusse la realtà della sua visione. Egli aveva avuto una visione, sapeva di averla avuta, e tutte le persecuzioni sotto il cielo non potevano mutare le cose; e sebbene lo perseguitassero fino alla morte, tuttavia egli sapeva, e l’avrebbe saputo fino al suo ultimo respiro, di aver visto una luce e udito una voce che gli parlava, e il mondo intero non avrebbe potuto fargli pensare o credere altrimenti.
Joseph Smith – Storia 1:25	Così era per me. Avevo realmente visto una luce, e in mezzo a quella luce avevo visto due Personaggi, ed essi mi avevano veramente parlato; e sebbene fossi odiato e perseguitato per aver detto di aver avuto una visione, tuttavia ciò era vero; e mentre mi perseguitavano, mi insultavano e dicevano falsamente ogni sorta di male contro di me per aver detto questo, ero indotto a dire in cuor mio: Perché perseguitarmi per aver detto la verità? Ho realmente avuto una visione; e chi sono io per resistere a Dio, o perché il mondo pensa di farmi negare ciò che ho visto realmente? Poiché avevo avuto una visione; io lo sapevo e sapevo che Dio lo sapeva, e non potevo negarlo, né avrei osato farlo; quanto meno, sapevo che così facendo avrei offeso Dio e mi sarei posto sotto condanna.
Joseph Smith – Storia 1:26	La mia mente era ora tranquillizzata per quanto concerneva il mondo settario: che non era mio dovere unirmi ad alcuna di esse, ma continuare com’ero fino a ulteriori indicazioni. Avevo appurato che la testimonianza di Giacomo è veritiera, che chi manca di sapienza può chiedere a Dio e ottenerla, e senza essere rimproverato.
Joseph Smith – Storia 1:27	Continuai a badare alle mie normali occupazioni quotidiane fino al ventuno settembre milleottocentoventitré, subendo per tutto il tempo dure persecuzioni da parte di ogni categoria di uomini, sia religiosi che irreligiosi, perché continuavo ad affermare che avevo avuto una visione.
Joseph Smith – Storia 1:28	Nell’arco di tempo che intercorse fra il periodo in cui ebbi la visione e l’anno milleottocentoventitré, essendomi stato proibito di unirmi ad alcuna delle sette religiose del momento, ed essendo in tenera età e perseguitato da coloro che avrebbero dovuto essere miei amici, e trattarmi gentilmente — e se pensavano che fossi stato ingannato avrebbero dovuto sforzarsi di redimermi in modo adeguato e affettuoso — fui abbandonato ad ogni specie di tentazioni; e mischiandomi con ogni specie di compagnia, caddi frequentemente in molti sciocchi errori e mostrai le debolezze della giovinezza e la fragilità della natura umana; il che, mi spiace dirlo, mi indusse in diverse tentazioni, offensive agli occhi di Dio. Quando faccio questa confessione, nessuno dovrà supporre che io fossi colpevole di qualche peccato grave o maligno. Una predisposizione a commettere cose simili non fu mai nella mia indole. Ma fui colpevole di leggerezza, e talvolta mi unii a compagnie allegre, ecc., non compatibili con il carattere che dovrebbe essere mantenuto da chi era stato chiamato da Dio, come lo ero io. Ma ciò non sembrerà molto strano a chiunque si ricordi della mia giovinezza e conosca il mio naturale temperamento allegro.
Joseph Smith – Storia 1:29	In conseguenza di queste cose, mi sentivo spesso condannato per la mia debolezza e le mie imperfezioni; quando, la sera del precitato ventuno settembre, dopo essermi ritirato a letto per la notte, mi misi a pregare e a supplicare Dio Onnipotente per il perdono di tutti i miei peccati e delle mie follie, e anche per avere una manifestazione, affinché potessi conoscere il mio stato e la mia posizione dinanzi a Lui; poiché avevo piena fiducia di ottenere una manifestazione divina, poiché ne avevo avuto una in precedenza.
Joseph Smith – Storia 1:30	Mentre ero così nell’atto di invocare Dio, mi accorsi di una luce che apparve nella mia stanza, e che continuò ad aumentare finché la stanza fu più luminosa che a mezzogiorno, quando improvvisamente un personaggio apparve accanto al mio letto, stando in aria, poiché i suoi piedi non toccavano il pavimento.
Joseph Smith – Storia 1:31	Indossava una veste sciolta, del candore più squisito. Era un candore al di là di qualsiasi cosa terrena che avessi mai visto, né credo che alcunché di terreno possa essere fatto apparire così straordinariamente bianco e brillante. Le sue mani erano nude, e anche le braccia un po’ al disopra dei polsi; così pure erano nudi i suoi piedi, come lo erano le gambe un po’ al disopra delle caviglie. Anche la testa e il collo erano scoperti. Potei rendermi conto che egli non indossava altro abito se non quella veste, poiché era aperta, cosicché potevo vederne il petto.
Joseph Smith – Storia 1:32	Non soltanto la sua veste era straordinariamente bianca, ma tutta la sua persona era gloriosa oltre ogni descrizione, e il suo volto veramente era simile al lampo. La stanza era straordinariamente luminosa, ma non così brillante quanto immediatamente attorno alla sua persona. Quando dapprima lo guardai, ebbi paura; ma subito il timore mi lasciò.
Joseph Smith – Storia 1:33	Mi chiamò per nome e mi disse che era un messaggero inviatomi dalla presenza di Dio, e che il suo nome era Moroni; che Dio aveva un’opera da farmi compiere, e che il mio nome sarebbe stato conosciuto in bene e in male fra tutte le nazioni, stirpi e lingue, ossia che se ne sarebbe parlato bene e male fra tutti i popoli.
