Gênesis 1:1	No princípio, Deus criou os céus e a terra.
Ezequiel 36:37	Assim diz o Senhor Deus: Ainda por isso serei solicitado pela casa de Israel, que lho faça; multiplicá-los-ei de homens, como a um rebanho.
Ezequiel 36:38	Como o rebanho santificado, como o rebanho de Jerusalém nas suas solenidades, assim as cidades desertas serão cheias de rebanhos de homens; e saberão que eu sou o Senhor.
Ezequiel 37:1	Veio sobre mim a mão do Senhor, e me levou para fora no Espírito do Senhor, e me pôs no meio de um vale que estava cheio de ossos.
Ezequiel 37:2	E me fez passar em volta deles; e eis que eram muito numerosos sobre a face do vale, e eis que estavam sequíssimos.
Ezequiel 37:3	E me disse: Filho do homem, porventura viverão estes ossos? E eu disse: Senhor Deus, tu o sabes.
Ezequiel 37:4	Então me disse: Profetiza sobre estes ossos, e dize-lhes: Ossos secos, ouvi a palavra do Senhor.
Ezequiel 37:5	Assim diz o Senhor Deus a estes ossos: Eis que farei entrar em vós o espírito, e vivereis.
Ezequiel 37:6	E porei tendões sobre vós, e farei crescer carne sobre vós, e sobre vós estenderei pele, e porei em vós o espírito, e vivereis, e sabereis que eu sou o Senhor.
Ezequiel 37:7	Então profetizei como se me deu ordem; e houve um ruído enquanto eu profetizava; e eis que se fez um rebuliço, e os ossos se achegaram, cada osso ao seu osso.
Ezequiel 37:8	E olhei, e eis que vinham tendões sobre eles, e cresceu a carne, e estendeu-se a pele por sobre eles; porém não havia neles espírito.
Ezequiel 37:9	E ele me disse: Profetiza ao espírito, profetiza, ó filho do homem, e dize ao espírito: Assim diz o Senhor Deus: Vem dos quatro ventos, ó espírito, e assopra sobre estes mortos, e viverão.
Ezequiel 37:10	E profetizei como ele me deu ordem; então o espírito entrou neles, e viveram, e se puseram em pé, um exército grande em extremo.
Ezequiel 37:11	Então me disse: Filho do homem, estes ossos são toda a casa de Israel; eis que dizem: Os nossos ossos se secaram, e pereceu a nossa esperança; nós estamos cortados.
Ezequiel 37:12	Portanto, profetiza, e dize-lhes: Assim diz o Senhor Deus: Eis que eu abrirei as vossas sepulturas, e vos farei subir das vossas sepulturas, ó povo meu, e vos trarei à terra de Israel.
Ezequiel 37:13	E sabereis que eu sou o Senhor, quando eu abrir as vossas sepulturas, e vos fizer subir das vossas sepulturas, ó povo meu.
Ezequiel 37:14	E porei em vós o meu espírito, e vivereis e vos porei na vossa terra, e sabereis que eu, o Senhor, falei isto, e o fiz, diz o Senhor.
Ezequiel 37:15	E veio a mim a palavra do Senhor, dizendo:
Ezequiel 37:16	Tu, pois, ó filho do homem, toma um pedaço de madeira, e escreve nele: Por Judá e aos filhos de Israel, seus companheiros. E toma outro pedaço de madeira, e escreve nele: Por José, a vara de Efraim, e de toda a casa de Israel, seus companheiros.
Ezequiel 37:17	E ajunta um ao outro, para que sejam uma vara; e serão uma só na tua mão.
Ezequiel 37:18	E quando te falarem os filhos do teu povo, dizendo: Porventura não nos declararás o que significam estas coisas?
Ezequiel 37:19	Então lhes dirás: Assim diz o Senhor Deus: Eis que eu tomarei a vara de José que esteve na mão de Efraim, e das tribos de Israel, seus companheiros, e as ajuntarei à vara de Judá, e farei delas uma só vara, e elas se farão uma só na minha mão.
Ezequiel 37:20	E as varas, sobre as quais houveres escrito, estarão na tua mão, perante os olhos deles.
Ezequiel 37:21	Dize-lhes, pois: Assim diz o Senhor Deus: Eis que eu tomarei os filhos de Israel de entre as nações, para onde eles foram, e os congregarei de todas as partes, e os levarei à sua terra.
Ezequiel 37:22	E deles farei uma nação na terra, nos montes de Israel, e todos eles terão por seu rei um só rei; e nunca mais serão duas nações; nunca mais para o futuro se dividirão em dois reinos.
Ezequiel 37:23	E nunca mais se contaminarão com os seus ídolos, nem com as suas abominações, nem com as suas transgressões, e os livrarei de todos os seus lugares de habitação nos quais pecaram, e os purificarei; assim, eles me serão por povo, e eu lhes serei por Deus.
Ezequiel 37:24	E meu servo Davi será rei sobre eles, e todos eles terão um só pastor; e andarão nos meus juízos, e guardarão os meus estatutos, e os observarão.
Ezequiel 37:25	E habitarão na terra que dei a meu servo Jacó, em que habitaram vossos pais; e habitarão nela, eles e seus filhos, e os filhos de seus filhos, para sempre, e Davi, meu servo, será seu príncipe eternamente.
Ezequiel 37:26	E farei com eles um convênio de paz; será com eles um eterno convênio; e os porei, e os multiplicarei, e porei o meu santuário no meio deles para sempre.
Ezequiel 37:27	E o meu tabernáculo estará com eles, e lhes serei por Deus, e eles me serão por povo.
Ezequiel 37:28	E as nações saberão que eu sou o Senhor que santifico Israel, quando estiver o meu santuário no meio deles para sempre.
Ezequiel 38:1	E a palavra do Senhor veio a mim, dizendo:
Ezequiel 38:2	Filho do homem, dirige o teu rosto contra Gogue, terra de Magogue, príncipe e chefe de Meseque e Tubal, e profetiza contra ele,
Ezequiel 38:3	E dize: Assim diz o Senhor Deus: Eis que eu estou contra ti, ó Gogue, príncipe e chefe de Meseque e Tubal;
Ezequiel 38:4	E te farei voltar, e porei anzóis nos teus queixos, e te levarei a ti, com todo o teu exército, cavalos e cavaleiros, todos vestidos esplendidamente, grande multidão, com escudo e broquel, manejando todos a espada;
Ezequiel 38:5	Os da Pérsia, os da Etiópia, e os de Pute com eles, todos eles com escudo e capacete;
Ezequiel 38:6	Gomer e todas as suas tropas, a casa de Togarma, do lado do norte, e todas as suas tropas, muitos povos contigo.
Ezequiel 38:7	Prepara-te, e dispõe-te, tu e todas as tuas multidões que se ajuntaram ao pé de ti, e serve-lhes tu de guarda.
Ezequiel 38:8	Depois de muitos dias serás visitado; nos últimos anos virás à terra que se retirou da espada, e que foi congregada dentre muitos povos aos montes de Israel, que sempre serviram de assolação; mas aquela terra foi tirada dentre os povos, e todos eles habitarão seguramente.
Ezequiel 38:9	Então subirás, virás como uma tempestade, far-te-ás como uma nuvem para cobrir a terra, tu e todas as tuas tropas, e muitos povos contigo.
Ezequiel 38:10	Assim diz o Senhor Deus: E acontecerá naquele dia que subirão pensamentos ao teu coração, e maquinarás um mau desígnio,
Ezequiel 38:11	E dirás: Subirei contra a terra das aldeias, irei contra os que estão em repouso, que habitam seguros; todos eles habitam sem muro, e não têm ferrolho nem portas;
Ezequiel 38:12	Para tomar o despojo, e para saquear a presa, para voltar a tua mão contra as terras desertas que agora se habitam, e contra o povo que se ajuntou dentre as nações, e já tem gado e possessões, que habita no meio da terra.
Ezequiel 38:13	Sabá, e Dedã, e os mercadores de Társis, e todos os seus leõezinhos te dirão: Porventura tu vens para tomar o despojo? ou ajuntaste a tua multidão para saquear a presa? para levar a prata e o ouro, para tomar o gado e possessões, para tomar o grande despojo?
Ezequiel 38:14	Portanto, profetiza, ó filho do homem, e dize a Gogue: Assim diz o Senhor Deus: Porventura não o saberás naquele dia, quando o meu povo Israel habitar com segurança?
Ezequiel 38:15	Virás, pois, do teu lugar, dos lados do norte, tu e muitos povos contigo, montados todos a cavalo, grande multidão, e exército numeroso,
Ezequiel 38:16	E subirás contra o meu povo Israel, como uma nuvem, para cobrir a terra; nos últimos dias sucederá; então te trarei contra a minha terra, para que as nações me conheçam, quando eu me houver santificado por meio de ti aos seus olhos, ó Gogue.
Ezequiel 38:17	Assim diz o Senhor Deus: Porventura não és tu aquele de quem eu disse nos dias antigos, pelo ministério de meus servos, os profetas de Israel, que naqueles dias profetizaram, durante anos, que eu te traria contra eles?
Ezequiel 38:18	Sucederá, porém, naquele dia, no dia em que vier Gogue contra a terra de Israel, diz o Senhor Deus, que a minha indignação subirá à minha face.
Ezequiel 38:19	Porque falei no meu zelo, no fogo do meu furor, que naquele dia haverá grande tremor sobre a terra de Israel;
Ezequiel 38:20	De tal maneira que tremerão diante da minha face os peixes do mar, e as aves do céu, e os animais do campo, e todos os répteis que se arrastam sobre a terra, e todos os homens que estão sobre a face da terra; e os montes serão deitados abaixo, e os precipícios cairão, e todos os muros cairão à terra.
Ezequiel 38:21	Porque chamarei sobre ele a espada por todos os meus montes, diz o Senhor Deus; a espada de cada um se voltará contra seu irmão.
Ezequiel 38:22	E contenderei com ele por meio da peste e do sangue; e uma chuva inundante, e grandes pedras de saraiva, fogo, e enxofre farei chover sobre ele, e sobre as suas tropas, e sobre os muitos povos que estiverem com ele.
Ezequiel 38:23	Assim eu me engrandecerei e me santificarei, e me farei conhecer aos olhos de muitas nações; e saberão que eu sou o Senhor.
Ezequiel 39:1	Tu, pois, ó filho do homem, profetiza ainda contra Gogue, e dize: Assim diz o Senhor Deus: Eis que eu estou contra ti, ó Gogue, príncipe e chefe de Meseque e Tubal.
Ezequiel 39:2	E te farei voltar, e te conduzirei, e te farei subir dos lados do norte, e te trarei aos montes de Israel.
Ezequiel 39:3	E tirarei o teu arco da tua mão esquerda, e farei cair as tuas flechas da tua mão direita.
Ezequiel 39:4	Nos montes de Israel cairás, tu e todas as tuas tropas, e os povos que estão contigo; e às aves de rapina, e a toda espécie de aves, e aos animais do campo te dei por pasto.
Ezequiel 39:5	Sobre a face do campo cairás, porque eu o falei, diz o Senhor Deus.
Ezequiel 39:6	E enviarei um fogo a Magogue, e entre os que habitam seguros nas ilhas; e saberão que eu sou o Senhor.
Ezequiel 39:7	E farei conhecido o meu santo nome no meio do meu povo Israel, e nunca mais deixarei profanar o meu santo nome; e as nações saberão que eu sou o Senhor, o Santo em Israel.
Ezequiel 39:8	Eis que vem, e se cumprirá, diz o Senhor Deus; este é o dia de que falei.
Ezequiel 39:9	E os habitantes das cidades de Israel sairão, e acenderão fogo, e queimarão as armas, e os escudos e os broquéis, com os arcos, e com as flechas, e com os bastões de mão, e com as lanças; e acenderão fogo com elas por sete anos.
Ezequiel 39:10	E não trarão lenha do campo, nem a cortarão dos bosques, mas com as armas acenderão fogo; e roubarão os que os roubaram, e despojarão os que os despojaram, diz o Senhor Deus.
Ezequiel 39:11	E sucederá que, naquele dia, darei ali a Gogue um lugar de sepultura em Israel, o vale dos que passam ao oriente do mar; e fará parar os que por ele passarem; e ali sepultarão Gogue, e toda a sua multidão, e lhe chamarão o vale da multidão de Gogue.
Ezequiel 39:12	E a casa de Israel os enterrará por sete meses, para purificar a terra.
Ezequiel 39:13	Pois todo o povo da terra os enterrará, e lhes será memorável o dia em que eu for glorificado, diz o Senhor Deus.
Ezequiel 39:14	E separarão homens que incessantemente passarão pela terra, para que eles, juntamente com os que passam, sepultem os que tiverem ficado sobre a face da terra, para a purificarem; ao cabo de sete meses farão esta busca.
Ezequiel 39:15	E os que passam pela terra a atravessarão, e vendo o osso de um homem, lhe levantarão ao lado um sinal, até que os enterradores o tenham enterrado no vale da multidão de Gogue.
Ezequiel 39:16	E também o nome da cidade será Hamona; assim purificarão a terra.
Ezequiel 39:17	Tu, pois, ó filho do homem, assim diz o Senhor Deus, dize às aves de toda espécie, e a todos os animais do campo: Ajuntai-vos e vinde, congregai-vos de toda parte para o meu sacrifício que ofereço por vós, grande sacrifício nos montes de Israel, e comei carne e bebei sangue.
Ezequiel 39:18	Comereis a carne dos poderosos e bebereis o sangue dos príncipes da terra, dos carneiros, dos cordeiros, e dos bodes, e dos bezerros, todos cevados de Basã.
Ezequiel 39:19	E comereis a gordura até vos fartardes, e bebereis o sangue até vos embebedardes, do meu sacrifício, que ofereci por vós.
Ezequiel 39:20	E vos fartareis à minha mesa, de cavalos, e de carros, de valentes, e de todos os homens de guerra, diz o Senhor Deus.
Ezequiel 39:21	E eu porei a minha glória entre as nações, e todas as nações verão o meu juízo, que eu tiver executado, e a minha mão, que sobre elas tiver descarregado.
Ezequiel 39:22	E saberão os da casa de Israel que eu sou o Senhor seu Deus, desde aquele dia em diante.
Ezequiel 39:23	E as nações saberão que os da casa de Israel, por causa da sua iniquidade, foram levados em cativeiro, porque se rebelaram contra mim, e eu escondi deles a minha face, e os entreguei nas mãos de seus adversários, e todos caíram à espada.
Ezequiel 39:24	Conforme a sua imundície e conforme as suas transgressões me houve com eles, e escondi deles a minha face.
Ezequiel 39:25	Portanto, assim diz o Senhor Deus: Agora restaurarei a sorte de Jacó, e me compadecerei de toda a casa de Israel; zelarei pelo meu santo nome;
Ezequiel 39:26	Quando houverem levado sobre si a sua vergonha, e toda a sua rebeldia, com que se rebelaram contra mim, habitando eles seguros na sua terra, sem haver quem os atemorize.
Ezequiel 39:27	Quando eu os tornar a trazer de entre os povos, e os houver ajuntado das terras de seus inimigos, e eu for santificado neles aos olhos de muitas nações,
Ezequiel 39:28	Então saberão que eu sou o Senhor seu Deus, vendo que eu os fiz levar em cativeiro entre as nações, e os tornei a ajuntar para a sua terra, e não mais deixei nenhum deles lá.
Ezequiel 39:29	Nem esconderei mais a minha face deles, quando eu houver derramado o meu Espírito sobre a casa de Israel, diz o Senhor Deus.
Ezequiel 40:1	No ano vinte e cinco do nosso cativeiro, no princípio do ano, no décimo dia do mês, quatorze anos depois que a cidade foi conquistada, naquele mesmo dia veio sobre mim a mão do Senhor, e me levou para lá.
Ezequiel 40:2	Em visões de Deus me levou à terra de Israel, e me pôs sobre um monte muito alto, e havia sobre ele como que um edifício de cidade para o lado do sul.
Ezequiel 40:3	E havendo-me levado ali, eis que um homem, cuja aparência era como a do bronze, tinha um cordel de linho na sua mão e uma cana de medir; e ele estava em pé na porta.
Ezequiel 40:4	E disse-me o homem: Filho do homem, vê com os teus olhos, e ouve com os teus ouvidos, e põe no teu coração tudo quanto eu te fizer ver; porque a fim de to mostrar foste tu aqui trazido; anuncia, pois, à casa de Israel tudo quanto tu vires.
Ezequiel 40:5	E eis um muro fora da casa em redor, e na mão do homem uma cana de medir, de seis côvados, cada côvado de um côvado e um palmo, e mediu a largura do edifício, de uma cana, e a altura, de uma cana.
Ezequiel 40:6	Então veio à porta que dava para o caminho do oriente, e subiu pelos seus degraus; mediu o umbral da porta, uma cana de largura, e o outro umbral, de uma cana de largura.
Ezequiel 40:7	E cada câmara era de uma cana de comprimento, e outra cana de largura, e entre as câmaras havia cinco côvados; e o umbral da porta, ao pé do vestíbulo da porta, era de uma cana, por dentro.
Ezequiel 40:8	Também mediu o vestíbulo da porta por dentro, uma cana.
Ezequiel 40:9	Então mediu o outro alpendre da porta, de oito côvados, e os seus pilares, de dois côvados, e o vestíbulo da porta ficava por dentro.
Ezequiel 40:10	E as câmaras da porta do caminho para o oriente eram três deste lado e três do outro lado, as três de uma mesma medida; também os pilares deste e do outro lado tinham a mesma medida.
Ezequiel 40:11	Mediu mais a largura da entrada da porta, de dez côvados; e o comprimento da porta, treze côvados.
Ezequiel 40:12	E o espaço de diante das câmaras era de um côvado, e de um côvado o espaço do outro lado; e cada câmara tinha seis côvados de um lado e seis côvados do outro lado.
Ezequiel 40:13	Então mediu a porta desde o telhado de uma câmara até o telhado da outra, vinte e cinco côvados de largura, porta contra porta.
Ezequiel 40:14	Também fez pilares de sessenta côvados, a saber, para o pilar do átrio, em redor da porta.
Ezequiel 40:15	E desde a dianteira da porta da entrada até a dianteira do vestíbulo da porta interior havia cinquenta côvados.
Ezequiel 40:16	Fez também janelas de fechar nas câmaras, e nos seus pilares, dentro da porta ao redor, e da mesma sorte nos vestíbulos; e as janelas estavam ao redor pela parte de dentro, e nos pilares havia palmeiras.
Ezequiel 40:17	E ele me levou ao átrio exterior; e eis que havia nele câmaras, e um pavimento que estava feito no átrio em redor; trinta câmaras havia naquele pavimento.
Ezequiel 40:18	E o pavimento ao lado das portas correspondia ao comprimento das portas; era o pavimento inferior.
Ezequiel 40:19	E mediu a largura da dianteira do átrio interior, por fora, cem côvados, do lado do oriente e do norte.
Ezequiel 40:20	E quanto à porta que dava para o caminho do norte, no átrio exterior, ele mediu o seu comprimento e a sua largura.
Ezequiel 40:21	E as suas câmaras, três de um lado, e três do outro, e os seus pilares e os seus vestíbulos eram da medida da primeira porta; cinquenta côvados era o seu comprimento, e a largura, vinte e cinco côvados.
Ezequiel 40:22	E as suas janelas, e os seus vestíbulos, e as suas palmeiras eram da medida da porta que dava para o caminho do oriente; e subiam a ela por sete degraus, e os seus vestíbulos estavam diante delas.
Ezequiel 40:23	E estava a porta do átrio interior defronte da porta do norte e do oriente; e mediu de porta a porta cem côvados.
Ezequiel 40:24	Então ele me levou ao caminho do sul, e eis uma porta que dava para o caminho do sul, e mediu os seus pilares e os seus vestíbulos conforme essas medidas.
Ezequiel 40:25	E havia também janelas em redor dos seus vestíbulos, como estas janelas; cinquenta côvados o comprimento, e a largura, vinte e cinco côvados.
Ezequiel 40:26	E de sete degraus eram as suas subidas, e os seus vestíbulos estavam diante delas; e havia palmeiras, uma de um lado e outra do outro lado, nos seus pilares.
Ezequiel 40:27	Também havia uma porta no átrio interior para o caminho do sul; e mediu de porta a porta, para o caminho do sul, cem côvados.
Ezequiel 40:28	Então me levou ao átrio interior pela porta do sul; e mediu a porta do sul, conforme essas medidas.
Ezequiel 40:29	E as suas câmaras, e os seus pilares, e os seus vestíbulos eram conforme essas medidas; e havia também janelas ao redor dos seus vestíbulos; o comprimento era de cinquenta côvados, e a largura, de vinte e cinco côvados.
Ezequiel 40:30	E havia vestíbulos em redor; o comprimento era de vinte e cinco côvados, e a largura, de cinco côvados.
Ezequiel 40:31	E os seus vestíbulos estavam no átrio exterior, e havia palmeiras nos seus pilares; e de oito degraus eram as suas subidas.
Ezequiel 40:32	Depois me levou ao átrio interior, para o caminho do oriente, e mediu a porta conforme essas medidas;
Ezequiel 40:33	Como também as suas câmaras, e os seus pilares, e os seus vestíbulos, conforme essas medidas; e havia também janelas em redor dos seus vestíbulos; o comprimento de cinquenta côvados, e a largura, de vinte e cinco côvados.
Ezequiel 40:34	E os seus vestíbulos estavam no átrio de fora; também havia palmeiras nos seus pilares de um e de outro lado; e eram de oito degraus as suas subidas.
Ezequiel 40:35	Então me levou à porta do norte, e mediu conforme essas medidas;
Ezequiel 40:36	As suas câmaras, os seus pilares, e os seus vestíbulos; também havia janelas em redor; o comprimento era de cinquenta côvados, e a largura, de vinte e cinco côvados.
Ezequiel 40:37	E os seus pilares estavam no átrio exterior; também havia palmeiras nos seus pilares de um e de outro lado; e eram de oito degraus as suas subidas.
Ezequiel 40:38	E a sua câmara e a sua porta estavam junto aos pilares das portas onde lavavam o holocausto.
Ezequiel 40:39	E no vestíbulo da porta havia duas mesas de um lado, e duas mesas do outro, para nelas matar o holocausto e a oferta pelo pecado e a oferta pela culpa.
Ezequiel 40:40	Também do lado de fora da subida para a entrada da porta do norte havia duas mesas; e do outro lado, que estava no vestíbulo da porta, havia duas mesas.
Ezequiel 40:41	Quatro mesas de um lado, e quatro mesas do outro lado; aos lados da porta oito mesas, sobre as quais imolavam.
Ezequiel 40:42	E as quatro mesas para o holocausto eram de pedras lavradas; o comprimento era de um côvado e meio, e a largura, de um côvado e meio, e a altura, de um côvado; e sobre elas se punham os instrumentos com que imolavam o holocausto e o sacrifício.
Ezequiel 40:43	E os ganchos de um palmo estavam fixos por dentro em redor, e sobre as mesas estava a carne da oferta.
Ezequiel 40:44	E fora da porta interior estavam as câmaras dos cantores, no átrio de dentro, que estava do lado da porta do norte e dava para o caminho do sul; uma estava do lado da porta do oriente, a qual dava para o caminho do norte.
Ezequiel 40:45	E ele me disse: Esta câmara que dá para o caminho do sul é para os sacerdotes que têm o encargo do serviço do templo.
Ezequiel 40:46	Mas a câmara que dá para o caminho do norte é para os sacerdotes que têm o encargo do serviço do altar; esses são os filhos de Zadoque, que se chegam ao Senhor, dentre os filhos de Levi, para o servir.
Ezequiel 40:47	E mediu o átrio: o comprimento, de cem côvados, e a largura, de cem côvados, quadrado; e o altar estava diante do templo.
Ezequiel 40:48	Então me levou ao vestíbulo do templo, e mediu cada pilar do vestíbulo, cinco côvados de um lado, e cinco côvados do outro; e a largura da porta, três côvados de um lado, e três côvados do outro.
Ezequiel 40:49	O comprimento do vestíbulo era de vinte côvados, e a largura, de onze côvados, e com degraus, pelos quais se subia; e havia colunas junto aos pilares, uma de um lado e outra do outro.
Ezequiel 41:1	Então me levou ao templo, e mediu os pilares, seis côvados de largura de um lado, e seis côvados de largura do outro, que era a largura do tabernáculo.
Ezequiel 41:2	E a largura da entrada, dez côvados; e os lados da entrada, cinco côvados de um lado e cinco côvados do outro; também mediu o seu comprimento, de quarenta côvados, e a largura, de vinte côvados.
Ezequiel 41:3	E entrou dentro, e mediu o pilar da entrada, dois côvados, e a entrada, seis côvados, e a largura da entrada, sete côvados.
Ezequiel 41:4	Também mediu o seu comprimento, vinte côvados, e a largura, vinte côvados, diante do templo, e me disse: Este é o lugar santíssimo.
Ezequiel 41:5	E mediu a parede do templo, seis côvados, e a largura das câmaras laterais, quatro côvados, por todo o redor do templo.
Ezequiel 41:6	E as câmaras laterais, câmara sobre câmara, eram trinta e três por ordem, e entravam na parede que tocava no templo pelas câmaras laterais em redor, para se prenderem nelas, porque não se prendiam na parede do templo.
Ezequiel 41:7	E havia maior largura e um caracol nas câmaras laterais para cima, porque o caracol do templo subia muito alto por todo o redor do templo, por isso que o templo tinha mais largura para cima; e assim da câmara baixa se subia à mais alta pelo meio.
Ezequiel 41:8	E olhei para a altura do templo em redor; e eram os fundamentos das câmaras laterais da medida de uma cana inteira, seis côvados, o côvado tomado até o cotovelo.
Ezequiel 41:9	A grossura da parede das câmaras laterais de fora era de cinco côvados; e o que foi deixado vazio era o lugar das câmaras laterais, que estavam junto ao templo.
Ezequiel 41:10	E entre as câmaras havia a largura de vinte côvados por todo o redor do templo.
Ezequiel 41:11	E as entradas das câmaras laterais estavam voltadas para o lugar vazio; uma entrada para o caminho do norte, e outra entrada para o do sul; e a largura do lugar vazio era de cinco côvados em redor.
Ezequiel 41:12	Era também o edifício que estava diante do lugar separado, à esquina do caminho do ocidente, da largura de setenta côvados; e a parede do edifício, de cinco côvados de largura em redor; e o seu comprimento era de noventa côvados.
Ezequiel 41:13	E mediu o templo, do comprimento de cem côvados, como também o lugar separado, e o edifício, e as suas paredes, cem côvados de comprimento.
Ezequiel 41:14	E a largura da dianteira do templo, e do lugar separado para o oriente, de uma e de outra parte, de cem côvados.
Ezequiel 41:15	Também mediu o comprimento do edifício, diante do lugar separado, que lhe estava por detrás, e as suas galerias de uma e de outra parte, de cem côvados, com o templo interior e os vestíbulos do átrio.
Ezequiel 41:16	Os umbrais e as janelas estreitas, e as galerias em redor dos três, defronte do umbral, estavam cobertas de madeira em redor; e isto desde o chão até as janelas; e as janelas estavam cobertas.
Ezequiel 41:17	Até o que havia em cima da porta, e até o templo interior e exterior, e até toda a parede em redor, por dentro e por fora, tudo por medida.
Ezequiel 41:18	E foi feito com querubins e palmeiras, de maneira que cada palmeira estava entre querubim e querubim, e cada querubim tinha dois rostos,
Ezequiel 41:19	A saber: um rosto de homem olhava para a palmeira de um lado, e um rosto de leãozinho, para a palmeira do outro lado; assim foi feito por toda a casa em redor.
Ezequiel 41:20	Desde o chão até por cima da entrada estavam feitos os querubins e as palmeiras, como também pela parede do templo.
Ezequiel 41:21	As ombreiras do templo eram quadradas e, no tocante à dianteira do santuário, a feição de uma era como a aparência da outra.
Ezequiel 41:22	O altar de madeira era de três côvados de altura, e o seu comprimento, de dois côvados, e tinha os seus cantos; e o seu comprimento e as suas paredes eram de madeira; e me disse: Esta é a mesa que está perante a face do Senhor.
Ezequiel 41:23	E o templo e o santuário ambos tinham duas portas.
Ezequiel 41:24	E havia dois batentes para as portas, dois batentes que viravam; dois para uma porta, e dois batentes para a outra.
Ezequiel 41:25	E foram feitos nelas, nas portas do templo, querubins e palmeiras, como estavam feitos nas paredes, e havia uma trave grossa de madeira na dianteira do vestíbulo por fora.
Ezequiel 41:26	E havia janelas estreitas, e palmeiras, de um e de outro lado, pelos lados do vestíbulo, como também nas câmaras do templo e nas grossas traves.
Ezequiel 42:1	Depois disso fez-me sair para fora, ao átrio exterior, para o lado do caminho do norte; e me levou às câmaras que estavam defronte do lugar separado, e que estavam defronte do edifício, do lado do norte.
Ezequiel 42:2	Defronte do comprimento de cem côvados era a entrada do norte; e a largura era de cinquenta côvados.
Ezequiel 42:3	Defronte dos vinte côvados, que tinha o átrio interior, e defronte do pavimento que tinha o átrio exterior, havia galeria contra galeria em três andares.
Ezequiel 42:4	E diante das câmaras havia um passeio de dez côvados de largura, do lado de dentro, e um caminho de um côvado, e as suas entradas, do lado do norte.
Ezequiel 42:5	E as câmaras de cima eram mais estreitas; porquanto as galerias eram mais altas do que aquelas, a saber, as de baixo e as do meio do edifício.
Ezequiel 42:6	Porque elas eram de três andares, porém não tinham colunas como as colunas dos átrios; por isso desde o chão se iam estreitando, mais do que as de baixo e as do meio.
Ezequiel 42:7	E o muro que estava de fora, defronte das câmaras, no caminho do átrio exterior, por diante das câmaras, tinha cinquenta côvados de comprimento.
Ezequiel 42:8	Porque o comprimento das câmaras, que tinha o átrio exterior, era de cinquenta côvados; e eis que defronte do templo havia cem côvados.
Ezequiel 42:9	E debaixo dessas câmaras estava a entrada do oriente, quando se entra nelas do átrio de fora.
Ezequiel 42:10	Na largura do muro do átrio para o caminho do oriente, diante do lugar separado, e diante do edifício, havia também câmaras.
Ezequiel 42:11	E o caminho de diante delas era da aparência das câmaras, e dava para o caminho do norte; conforme o seu comprimento, assim era a sua largura; e todas as suas saídas eram também conforme as suas formas, e conforme as suas entradas.
Ezequiel 42:12	E conforme as entradas das câmaras, que davam para o caminho do sul, havia também uma entrada no topo do caminho, do caminho de diante do muro direito, para o caminho do oriente, quando se entra por elas.
Ezequiel 42:13	Então me disse: As câmaras do norte, e as câmaras do sul, que estão diante do lugar separado, elas são câmaras santas, em que os sacerdotes, que se chegam ao Senhor, comerão as coisas santíssimas; ali porão as coisas santíssimas, e a oferta de manjares, e a oferta pelo pecado, e a oferta pela culpa; porque o lugar é santo.
Ezequiel 42:14	Quando os sacerdotes entrarem, não sairão do santuário para o átrio exterior, mas porão ali as suas vestiduras com que ministraram, porque elas são santas; e vestir-se-ão de outras vestiduras, e assim se aproximarão do que é para o povo.
Ezequiel 42:15	E acabando ele de medir o templo interior, ele me fez sair pelo caminho da porta, cuja face dá para o caminho do oriente; e a mediu em redor.
Ezequiel 42:16	Mediu o lado oriental com a cana de medir, quinhentas canas com a cana de medir, ao redor.
Ezequiel 42:17	Mediu o lado do norte, quinhentas canas com a cana de medir, ao redor.
Ezequiel 42:18	O lado do sul também mediu, quinhentas canas com a cana de medir.
Ezequiel 42:19	Deu uma volta para o lado do ocidente, e mediu quinhentas canas com a cana de medir.
Ezequiel 42:20	Pelos quatro lados a mediu, e tinha um muro em redor, quinhentas canas de comprimento, e quinhentas de largura, para fazer separação entre o santo e o profano.
Ezequiel 43:1	Então me levou à porta, à porta que dá para o caminho do oriente.
Ezequiel 43:2	E eis que a glória do Deus de Israel vinha do caminho do oriente; e a sua voz era como a voz de muitas águas, e a terra resplandeceu por causa da sua glória.
Ezequiel 43:3	E o aspecto da visão que vi era como o aspecto que eu tinha visto quando vim para destruir a cidade; e eram os aspectos da visão como o aspecto que vi junto ao rio Quebar; e caí sobre o meu rosto.
Ezequiel 43:4	E a glória do Senhor entrou no templo pelo caminho da porta, cuja face está voltada para o caminho do oriente.
Ezequiel 43:5	E o Espírito me levantou, e me levou ao átrio interior; e eis que a glória do Senhor encheu o templo.
Ezequiel 43:6	E ouvi alguém que falava comigo de dentro do templo, e estava um homem em pé junto a mim.
Ezequiel 43:7	E me disse: Filho do homem, este é o lugar do meu trono, e o lugar da planta dos meus pés, onde habitarei no meio dos filhos de Israel para sempre; e os da casa de Israel não contaminarão mais o meu nome santo, nem eles nem os seus reis, pelas suas prostituições, e pelos cadáveres dos seus reis, nos seus altos.
Ezequiel 43:8	Pondo o seu umbral ao pé do meu umbral, e a sua ombreira junto à minha ombreira, e havendo uma parede entre mim e eles; e contaminaram o meu santo nome com as suas abominações que faziam; por isso eu os consumi na minha ira.
Ezequiel 43:9	Agora lançarão para longe de mim a sua prostituição, e os cadáveres dos seus reis, e habitarei no meio deles para sempre.
